,Year,State,County,Number Unemployed,Percent Unemployed,Number of Crimes,Total Labor Force,Coordinates,Crimes per Capita,Number Unemployed for Area Counties (50 Miles),Unemployed Percent for Area Counties (50 Miles),Number of Crimes for Area Counties (50 Miles),Crime Percent for Area Counties (50 Miles),Coordinates for Area Counties (50 Miles),Total Area Counties (50 Miles),Highest Unemployment in Area (50 Miles),Lowest Unemployment in Area (50 Miles),Highest Crime Rate in Area (50 Miles),Lowest Crime Rate in Area (50 Miles)
3924,2010,IL,Knox,2421.83333,9.55833,3466,25353.16667,"(40.8776411, -90.2244662)",0.13671,"[1504.25, 2421.83333, 2437.25, 907.58333, 294.91667, 2057.58333, 892.83333, 10084.58333, 721.91667, 658.5, 7105.91667, 366.0, 1335.33333, 7278.33333]","[7.46667, 9.55833, 9.125, 12.20833, 9.75833, 11.69167, 9.95833, 10.51667, 7.76667, 10.24167, 9.91667, 9.33333, 8.59167, 9.54167]","[2824, 3466, 1838, 742, 169, 1238, 560, 15332, 1262, 248, 4721, 330, 1470, 9727]","[0.1397, 0.13671, 0.06879, 0.09984, 0.0558, 0.07037, 0.06253, 0.15967, 0.13573, 0.03859, 0.06587, 0.08398, 0.09395, 0.12749]","['(40.9123374, -91.17369939999999)', '(40.8776411, -90.2244662)', '(41.361088, -90.0746767)', '(40.2271003, -89.9253233)', '(41.0795661, -89.81303559999999)', '(40.5531823, -90.2244662)', '(41.1985037, -90.6773046)', '(40.7156396, -89.77553379999999)', '(40.8758777, -90.6773046)', '(40.9972934, -89.3606298)', '(40.5522078, -89.4742177)', '(40.83355479999999, -90.9438468)', '(40.3885122, -90.6773046)', '(41.39982089999999, -90.563609)']",14,False,False,False,False
3930,2010,IL,Lake,36402.75,9.84167,22823,369867.25,"(42.3689363, -87.8271534)",0.06171,"[287360.75, 29468.0, 36402.75, 44543.25, 17784.25, 10192.66667, 8823.66667, 5083.83333, 47615.16667]","[10.875, 11.025, 9.84167, 8.85, 10.54167, 10.15833, 10.28333, 9.03333, 10.0]","[414324, 7329, 22823, 23898, 7560, 11749, 9207, 3575, 102471]","[0.15671, 0.02743, 0.06171, 0.04753, 0.04479, 0.11712, 0.10728, 0.06343, 0.21507]","['(41.7376587, -87.697554)', '(41.987884, -88.4016041)', '(42.3689363, -87.8271534)', '(41.8243831, -88.0900762)', '(42.3039993, -88.4016041)', '(42.76108199999999, -87.6186379)', '(42.5663156, -87.658113)', '(42.6202834, -88.55653099999999)', '(43.03879490000001, -87.9065334)']",9,False,False,False,False
3936,2010,IL,Ogle,3505.83333,12.4,1381,28216.25,"(41.9969811, -89.3226954)",0.04894,"[1927.5, 29468.0, 3505.83333, 3789.16667, 2069.5, 5928.91667, 889.91667, 7427.5, 3083.66667, 21064.0, 2729.75, 9314.83333, 1701.91667]","[10.01667, 11.025, 12.4, 13.78333, 10.80833, 10.50833, 10.425, 12.0, 10.3, 14.025, 11.06667, 11.275, 7.99167]","[1246, 7329, 1381, 1939, 1141, 4806, 493, 3402, 3095, 5596, 2293, 10166, 1323]","[0.06476, 0.02743, 0.04894, 0.07067, 0.05953, 0.08524, 0.0577, 0.055, 0.10349, 0.03729, 0.09289, 0.12293, 0.06219]","['(41.6789842, -89.3226954)', '(41.987884, -88.4016041)', '(41.9969811, -89.3226954)', '(42.34849759999999, -88.8263006)', '(41.35991560000001, -89.4742177)', '(41.8329981, -88.7108964)', '(42.0385843, -89.9626799)', '(41.4363987, -88.94138650000001)', '(41.7605503, -89.8505012)', '(42.3121109, -89.1705998)', '(42.31448899999999, -89.62516459999999)', '(42.6251506, -89.0179332)', '(42.6287336, -89.62516459999999)']",13,False,False,False,False
3942,2010,IL,Pike,727.83333,8.96667,62,8126.25,"(39.5662363, -90.8294002)",0.00763,"[581.0, 727.83333, 2697.0, 180.33333, 251.25, 632.91667, 1062.58333, 1550.58333, 251.0, 318.91667, 808.25, 494.83333, 1342.91667, 3148.25]","[8.275, 8.96667, 7.73333, 6.98333, 8.74167, 9.28333, 9.15833, 8.41667, 10.03333, 8.26667, 9.775, 8.78333, 9.1, 11.78333]","[147, 62, 3559, 92, 70, 263, 926, 1538, 136, 120, 562, 388, 334, 1677]","[0.02097, 0.00763, 0.10196, 0.03556, 0.02426, 0.03858, 0.07974, 0.08352, 0.05443, 0.03103, 0.0682, 0.06886, 0.02261, 0.06279]","['(39.9398601, -90.26200419999999)', '(39.5662363, -90.8294002)', '(40.0577692, -91.13530200000001)', '(39.9379573, -90.7152749)', '(39.6094934, -90.4879916)', '(39.4029862, -90.37483540000001)', '(39.0704754, -90.37483540000001)', '(39.7341219, -90.2244662)', '(39.1733216, -90.658333)', '(40.1844543, -90.6393702)', '(39.3964742, -91.28910359999999)', '(39.5582351, -91.5983959)', '(39.8464028, -91.63721500000001)', '(39.0669568, -90.9820668)']",14,False,False,False,True
3948,2010,IL,Pope,192.25,9.49167,116,2031.83333,"(37.417132, -88.59517509999999)",0.05709,"[192.25, 953.58333, 644.25, 194.16667, 671.33333, 1184.75, 2457.5, 556.41667, 308.25, 2220.5, 252.91667, 378.16667, 348.91667, 3157.91667, 346.25, 746.41667, 394.25, 579.08333, 623.16667, 203.58333, 1620.83333, 2773.91667, 404.25, 486.16667]","[9.49167, 11.96667, 8.50833, 10.80833, 9.50833, 10.18333, 8.225, 12.49167, 12.425, 12.325, 9.6, 9.425, 11.75833, 9.70833, 11.65, 9.70833, 10.28333, 9.46667, 10.525, 9.05, 10.525, 9.05833, 9.93333, 12.03333]","[116, 260, 447, 58, 961, 1568, 2222, 275, 366, 2066, 204, 20, 757, 2787, 186, 182, 421, 122, 612, 30, 966, 3942, 139, 206]","[0.05709, 0.03262, 0.05895, 0.03231, 0.13588, 0.13477, 0.07441, 0.06174, 0.14759, 0.11475, 0.07737, 0.00498, 0.25482, 0.08567, 0.06236, 0.02367, 0.10964, 0.01993, 0.10345, 0.01333, 0.06271, 0.12861, 0.0342, 0.05105]","['(37.417132, -88.59517509999999)', '(37.5086525, -89.28472510000002)', '(38.0501137, -88.24611829999999)', '(37.4995097, -88.362785)', '(37.2478298, -88.7493998)', '(37.7149675, -88.55653099999999)', '(37.7218304, -89.3226954)', '(37.42037639999999, -88.90306)', '(37.2512419, -89.1324866)', '(38.0157197, -88.90306)', '(37.7107751, -88.24611829999999)', '(38.0543187, -88.55653099999999)', '(37.1670164, -89.3606298)', '(37.7183241, -88.86469799999999)', '(37.0247261, -88.0900762)', '(37.6638744, -87.97268100000001)', '(37.0359869, -89.0179332)', '(37.4892188, -87.7369607)', '(37.1501019, -87.89424509999999)', '(36.8206685, -88.9796776)', '(36.8573767, -88.4016041)', '(37.03306070000001, -88.7108964)', '(37.3673645, -88.0900762)', '(37.2431347, -88.362785)']",24,False,False,False,False
3954,2010,IL,Will,39434.41667,11.08333,10125,355644.25,"(41.5054724, -88.0900762)",0.02847,"[287360.75, 29468.0, 39434.41667, 5928.91667, 44543.25, 3447.75, 6324.75, 7427.5, 7068.66667, 24733.83333]","[10.875, 11.025, 11.08333, 10.50833, 8.85, 13.26667, 10.11667, 12.0, 12.30833, 10.78333]","[414324, 7329, 10125, 4806, 23898, 1511, 2860, 3402, 6462, 44437]","[0.15671, 0.02743, 0.02847, 0.08524, 0.04753, 0.05822, 0.04583, 0.055, 0.11247, 0.19394]","['(41.7376587, -87.697554)', '(41.987884, -88.4016041)', '(41.5054724, -88.0900762)', '(41.8329981, -88.7108964)', '(41.8243831, -88.0900762)', '(41.3500531, -88.4016041)', '(41.5507043, -88.4403883)', '(41.4363987, -88.94138650000001)', '(41.1790977, -87.77633329999999)', '(41.4897279, -87.30161319999999)']",10,False,False,False,False
3960,2010,IL,Adams,2697.0,7.73333,3559,34906.91667,"(40.0577692, -91.13530200000001)",0.10196,"[1574.41667, 581.0, 727.83333, 2697.0, 180.33333, 251.25, 1053.33333, 318.91667, 1335.33333, 808.25, 430.0, 443.83333, 494.83333, 1342.91667]","[8.85833, 8.275, 8.96667, 7.73333, 6.98333, 8.74167, 10.58333, 8.26667, 8.59167, 9.775, 12.4, 8.525, 8.78333, 9.1]","[2352, 147, 62, 3559, 92, 70, 154, 120, 1470, 562, 160, 273, 388, 334]","[0.13257, 0.02097, 0.00763, 0.10196, 0.03556, 0.02426, 0.01546, 0.03103, 0.09395, 0.0682, 0.04621, 0.05247, 0.06886, 0.02261]","['(40.70686630000001, -91.44346900000001)', '(39.9398601, -90.26200419999999)', '(39.5662363, -90.8294002)', '(40.0577692, -91.13530200000001)', '(39.9379573, -90.7152749)', '(39.6094934, -90.4879916)', '(40.38493649999999, -91.13530200000001)', '(40.1844543, -90.6393702)', '(40.3885122, -90.6773046)', '(39.3964742, -91.28910359999999)', '(40.3772378, -91.7538817)', '(40.0500853, -91.7538817)', '(39.5582351, -91.5983959)', '(39.8464028, -91.63721500000001)']",14,False,False,False,False
3966,2010,IL,Boone,3789.16667,13.78333,1939,27438.16667,"(42.34849759999999, -88.8263006)",0.07067,"[29468.0, 3505.83333, 3789.16667, 5928.91667, 17784.25, 21064.0, 2729.75, 9314.83333, 1701.91667, 5083.83333]","[11.025, 12.4, 13.78333, 10.50833, 10.54167, 14.025, 11.06667, 11.275, 7.99167, 9.03333]","[7329, 1381, 1939, 4806, 7560, 5596, 2293, 10166, 1323, 3575]","[0.02743, 0.04894, 0.07067, 0.08524, 0.04479, 0.03729, 0.09289, 0.12293, 0.06219, 0.06343]","['(41.987884, -88.4016041)', '(41.9969811, -89.3226954)', '(42.34849759999999, -88.8263006)', '(41.8329981, -88.7108964)', '(42.3039993, -88.4016041)', '(42.3121109, -89.1705998)', '(42.31448899999999, -89.62516459999999)', '(42.6251506, -89.0179332)', '(42.6287336, -89.62516459999999)', '(42.6202834, -88.55653099999999)']",10,False,False,False,False
3972,2010,IL,Brown,180.33333,6.98333,92,2586.91667,"(39.9379573, -90.7152749)",0.03556,"[581.0, 727.83333, 2697.0, 180.33333, 907.58333, 251.25, 2057.58333, 632.91667, 537.75, 1550.58333, 1053.33333, 318.91667, 1335.33333, 808.25, 1342.91667]","[8.275, 8.96667, 7.73333, 6.98333, 12.20833, 8.74167, 11.69167, 9.28333, 7.53333, 8.41667, 10.58333, 8.26667, 8.59167, 9.775, 9.1]","[147, 62, 3559, 92, 742, 70, 1238, 263, 194, 1538, 154, 120, 1470, 562, 334]","[0.02097, 0.00763, 0.10196, 0.03556, 0.09984, 0.02426, 0.07037, 0.03858, 0.02713, 0.08352, 0.01546, 0.03103, 0.09395, 0.0682, 0.02261]","['(39.9398601, -90.26200419999999)', '(39.5662363, -90.8294002)', '(40.0577692, -91.13530200000001)', '(39.9379573, -90.7152749)', '(40.2271003, -89.9253233)', '(39.6094934, -90.4879916)', '(40.5531823, -90.2244662)', '(39.4029862, -90.37483540000001)', '(40.0221361, -89.81303559999999)', '(39.7341219, -90.2244662)', '(40.38493649999999, -91.13530200000001)', '(40.1844543, -90.6393702)', '(40.3885122, -90.6773046)', '(39.3964742, -91.28910359999999)', '(39.8464028, -91.63721500000001)']",15,False,True,False,False
3978,2010,IL,Clark,972.91667,11.68333,226,8321.5,"(39.3824189, -87.77633329999999)",0.02716,"[972.91667, 2518.75, 1059.58333, 453.75, 906.33333, 888.33333, 718.75, 656.0, 715.33333, 1471.66667, 556.5, 1468.41667, 5727.25, 801.83333, 1534.08333, 915.0, 1010.58333]","[11.68333, 9.81667, 11.19167, 8.9, 8.79167, 8.58333, 10.725, 8.55833, 8.925, 7.9, 9.16667, 11.11667, 11.2, 10.925, 10.64167, 10.075, 12.91667]","[226, 2365, 488, 271, 224, 207, 287, 204, 871, 1193, 135, 520, 9331, 300, 809, 442, 290]","[0.02716, 0.09212, 0.05156, 0.05314, 0.02166, 0.01992, 0.04279, 0.02657, 0.10865, 0.06391, 0.02225, 0.03945, 0.1825, 0.04092, 0.05622, 0.04865, 0.03714]","['(39.3824189, -87.77633329999999)', '(39.5560011, -88.24611829999999)', '(39.71312229999999, -87.77633329999999)', '(39.0554965, -88.0900762)', '(39.7617631, -88.2071598)', '(39.0499568, -87.77633329999999)', '(38.7157534, -87.77633329999999)', '(39.6020543, -88.59517509999999)', '(38.7212791, -88.0900762)', '(39.06217729999999, -88.55653099999999)', '(39.2653533, -88.2071598)', '(39.36862199999999, -87.14228949999999)', '(39.4165382, -87.42075179999999)', '(39.69929459999999, -87.14228949999999)', '(39.0321796, -86.9824288)', '(39.08431220000001, -87.42075179999999)', '(39.8512139, -87.48020679999999)']",17,False,False,False,False
3984,2010,IL,Coles,2518.75,9.81667,2365,25673.0,"(39.5560011, -88.24611829999999)",0.09212,"[972.91667, 2518.75, 1059.58333, 6161.75, 719.33333, 453.75, 1090.25, 906.33333, 888.33333, 656.0, 8941.58333, 1471.66667, 4340.58333, 556.5, 5727.25, 1010.58333]","[11.68333, 9.81667, 11.19167, 11.16667, 7.84167, 8.9, 9.73333, 8.79167, 8.58333, 8.55833, 8.20833, 7.9, 11.41667, 9.16667, 11.2, 12.91667]","[226, 2365, 488, 8530, 476, 271, 328, 224, 207, 204, 12747, 1193, 7116, 135, 9331, 290]","[0.02716, 0.09212, 0.05156, 0.15454, 0.05187, 0.05314, 0.02927, 0.02166, 0.01992, 0.02657, 0.11696, 0.06391, 0.18746, 0.02225, 0.1825, 0.03714]","['(39.3824189, -87.77633329999999)', '(39.5560011, -88.24611829999999)', '(39.71312229999999, -87.77633329999999)', '(39.8949055, -89.0179332)', '(40.0543526, -88.55653099999999)', '(39.0554965, -88.0900762)', '(39.3980704, -88.86469799999999)', '(39.7617631, -88.2071598)', '(39.0499568, -87.77633329999999)', '(39.6020543, -88.59517509999999)', '(40.2138865, -88.24611829999999)', '(39.06217729999999, -88.55653099999999)', '(40.122469, -87.697554)', '(39.2653533, -88.2071598)', '(39.4165382, -87.42075179999999)', '(39.8512139, -87.48020679999999)']",16,False,False,False,False
3990,2010,IL,Edgar,1059.58333,11.19167,488,9465.41667,"(39.71312229999999, -87.77633329999999)",0.05156,"[972.91667, 2518.75, 1059.58333, 719.33333, 453.75, 906.33333, 888.33333, 656.0, 8941.58333, 4340.58333, 556.5, 1468.41667, 5727.25, 801.83333, 442.66667, 1015.16667, 915.0, 1010.58333]","[11.68333, 9.81667, 11.19167, 7.84167, 8.9, 8.79167, 8.58333, 8.55833, 8.20833, 11.41667, 9.16667, 11.11667, 11.2, 10.925, 10.50833, 11.8, 10.075, 12.91667]","[226, 2365, 488, 476, 271, 224, 207, 204, 12747, 7116, 135, 520, 9331, 300, 14, 177, 442, 290]","[0.02716, 0.09212, 0.05156, 0.05187, 0.05314, 0.02166, 0.01992, 0.02657, 0.11696, 0.18746, 0.02225, 0.03945, 0.1825, 0.04092, 0.00333, 0.02056, 0.04865, 0.03714]","['(39.3824189, -87.77633329999999)', '(39.5560011, -88.24611829999999)', '(39.71312229999999, -87.77633329999999)', '(40.0543526, -88.55653099999999)', '(39.0554965, -88.0900762)', '(39.7617631, -88.2071598)', '(39.0499568, -87.77633329999999)', '(39.6020543, -88.59517509999999)', '(40.2138865, -88.24611829999999)', '(40.122469, -87.697554)', '(39.2653533, -88.2071598)', '(39.36862199999999, -87.14228949999999)', '(39.4165382, -87.42075179999999)', '(39.69929459999999, -87.14228949999999)', '(40.319245, -87.3413599)', '(40.22271970000001, -87.3347575)', '(39.08431220000001, -87.42075179999999)', '(39.8512139, -87.48020679999999)']",18,False,False,False,False
3996,2010,IL,Henry,2437.25,9.125,1838,26719.91667,"(41.361088, -90.0746767)",0.06879,"[5778.66667, 1857.91667, 1927.5, 2421.83333, 2437.25, 294.91667, 2069.5, 892.83333, 10084.58333, 398.0, 721.91667, 889.91667, 658.5, 3083.66667, 7278.33333]","[6.66667, 7.025, 10.01667, 9.55833, 9.125, 9.75833, 10.80833, 9.95833, 10.51667, 12.025, 7.76667, 10.425, 10.24167, 10.3, 9.54167]","[13041, 3380, 1246, 3466, 1838, 169, 1141, 560, 15332, 110, 1262, 493, 248, 3095, 9727]","[0.1501, 0.12784, 0.06476, 0.13671, 0.06879, 0.0558, 0.05953, 0.06253, 0.15967, 0.03322, 0.13573, 0.0577, 0.03859, 0.10349, 0.12749]","['(41.6393199, -90.6393702)', '(41.878563, -90.563609)', '(41.6789842, -89.3226954)', '(40.8776411, -90.2244662)', '(41.361088, -90.0746767)', '(41.0795661, -89.81303559999999)', '(41.35991560000001, -89.4742177)', '(41.1985037, -90.6773046)', '(40.7156396, -89.77553379999999)', '(41.238474, -89.28472510000002)', '(40.8758777, -90.6773046)', '(42.0385843, -89.9626799)', '(40.9972934, -89.3606298)', '(41.7605503, -89.8505012)', '(41.39982089999999, -90.563609)']",15,False,False,False,False
4002,2010,IL,Logan,1211.08333,8.68333,1526,13959.08333,"(40.061338, -89.3226954)",0.10932,"[1211.08333, 6161.75, 907.58333, 719.33333, 6786.75, 537.75, 767.33333, 8413.16667, 7105.91667, 1559.58333, 1741.66667]","[8.68333, 11.16667, 12.20833, 7.84167, 7.075, 7.53333, 8.725, 7.74167, 9.91667, 7.68333, 10.125]","[1526, 8530, 742, 476, 9082, 194, 17, 21803, 4721, 577, 543]","[0.10932, 0.15454, 0.09984, 0.05187, 0.09446, 0.02713, 0.00193, 0.20053, 0.06587, 0.02837, 0.03155]","['(40.061338, -89.3226954)', '(39.8949055, -89.0179332)', '(40.2271003, -89.9253233)', '(40.0543526, -88.55653099999999)', '(40.5478429, -88.86469799999999)', '(40.0221361, -89.81303559999999)', '(40.1810363, -88.90306)', '(39.7337353, -89.62516459999999)', '(40.5522078, -89.4742177)', '(40.7128889, -89.1705998)', '(39.5672183, -89.3226954)']",11,False,False,False,False
4008,2010,IL,Macon,6161.75,11.16667,8530,55195.75,"(39.8949055, -89.0179332)",0.15454,"[2518.75, 1211.08333, 6161.75, 719.33333, 6786.75, 537.75, 1090.25, 767.33333, 906.33333, 656.0, 8413.16667, 8941.58333, 1741.66667]","[9.81667, 8.68333, 11.16667, 7.84167, 7.075, 7.53333, 9.73333, 8.725, 8.79167, 8.55833, 7.74167, 8.20833, 10.125]","[2365, 1526, 8530, 476, 9082, 194, 328, 17, 224, 204, 21803, 12747, 543]","[0.09212, 0.10932, 0.15454, 0.05187, 0.09446, 0.02713, 0.02927, 0.00193, 0.02166, 0.02657, 0.20053, 0.11696, 0.03155]","['(39.5560011, -88.24611829999999)', '(40.061338, -89.3226954)', '(39.8949055, -89.0179332)', '(40.0543526, -88.55653099999999)', '(40.5478429, -88.86469799999999)', '(40.0221361, -89.81303559999999)', '(39.3980704, -88.86469799999999)', '(40.1810363, -88.90306)', '(39.7617631, -88.2071598)', '(39.6020543, -88.59517509999999)', '(39.7337353, -89.62516459999999)', '(40.2138865, -88.24611829999999)', '(39.5672183, -89.3226954)']",13,True,False,False,False
4014,2010,IL,Mason,907.58333,12.20833,742,7432.08333,"(40.2271003, -89.9253233)",0.09984,"[581.0, 2421.83333, 180.33333, 1211.08333, 907.58333, 2057.58333, 537.75, 1550.58333, 10084.58333, 8413.16667, 318.91667, 7105.91667, 1335.33333]","[8.275, 9.55833, 6.98333, 8.68333, 12.20833, 11.69167, 7.53333, 8.41667, 10.51667, 7.74167, 8.26667, 9.91667, 8.59167]","[147, 3466, 92, 1526, 742, 1238, 194, 1538, 15332, 21803, 120, 4721, 1470]","[0.02097, 0.13671, 0.03556, 0.10932, 0.09984, 0.07037, 0.02713, 0.08352, 0.15967, 0.20053, 0.03103, 0.06587, 0.09395]","['(39.9398601, -90.26200419999999)', '(40.8776411, -90.2244662)', '(39.9379573, -90.7152749)', '(40.061338, -89.3226954)', '(40.2271003, -89.9253233)', '(40.5531823, -90.2244662)', '(40.0221361, -89.81303559999999)', '(39.7341219, -90.2244662)', '(40.7156396, -89.77553379999999)', '(39.7337353, -89.62516459999999)', '(40.1844543, -90.6393702)', '(40.5522078, -89.4742177)', '(40.3885122, -90.6773046)']",13,True,False,False,False
4020,2010,IL,Perry,1059.41667,11.05833,548,9594.08333,"(38.0612022, -89.3226954)",0.05712,"[1059.41667, 953.58333, 1315.25, 1184.75, 1499.25, 2457.5, 556.41667, 2220.5, 378.16667, 1318.08333, 1860.83333, 616.08333, 3157.91667, 712.66667, 3007.58333]","[11.05833, 11.96667, 7.30833, 10.18333, 7.3, 8.225, 12.49167, 12.325, 9.425, 8.775, 10.2, 7.26667, 9.70833, 7.25, 7.33333]","[548, 260, 460, 1568, 668, 2222, 275, 2066, 20, 688, 3391, 370, 2787, 746, 6981]","[0.05712, 0.03262, 0.02554, 0.13477, 0.0325, 0.07441, 0.06174, 0.11475, 0.00498, 0.04579, 0.18597, 0.04354, 0.08567, 0.07585, 0.17015]","['(38.0612022, -89.3226954)', '(37.5086525, -89.28472510000002)', '(38.2742526, -90.1869644)', '(37.7149675, -88.55653099999999)', '(38.56844419999999, -89.62516459999999)', '(37.7218304, -89.3226954)', '(37.42037639999999, -88.90306)', '(38.0157197, -88.90306)', '(38.0543187, -88.55653099999999)', '(38.0629321, -89.77553379999999)', '(38.2267348, -88.86469799999999)', '(38.3988869, -89.3226954)', '(37.7183241, -88.86469799999999)', '(37.723555, -89.77553379999999)', '(37.3821319, -89.62516459999999)']",15,False,False,False,False
4026,2010,IL,Piatt,719.33333,7.84167,476,9177.08333,"(40.0543526, -88.55653099999999)",0.05187,"[688.91667, 2518.75, 1059.58333, 1211.08333, 6161.75, 719.33333, 6786.75, 1090.25, 767.33333, 906.33333, 656.0, 8941.58333, 4340.58333]","[9.46667, 9.81667, 11.19167, 8.68333, 11.16667, 7.84167, 7.075, 9.73333, 8.725, 8.79167, 8.55833, 8.20833, 11.41667]","[460, 2365, 488, 1526, 8530, 476, 9082, 328, 17, 224, 204, 12747, 7116]","[0.06308, 0.09212, 0.05156, 0.10932, 0.15454, 0.05187, 0.09446, 0.02927, 0.00193, 0.02166, 0.02657, 0.11696, 0.18746]","['(40.4988592, -88.2071598)', '(39.5560011, -88.24611829999999)', '(39.71312229999999, -87.77633329999999)', '(40.061338, -89.3226954)', '(39.8949055, -89.0179332)', '(40.0543526, -88.55653099999999)', '(40.5478429, -88.86469799999999)', '(39.3980704, -88.86469799999999)', '(40.1810363, -88.90306)', '(39.7617631, -88.2071598)', '(39.6020543, -88.59517509999999)', '(40.2138865, -88.24611829999999)', '(40.122469, -87.697554)']",13,False,False,False,False
4032,2010,IL,Scott,251.25,8.74167,70,2885.75,"(39.6094934, -90.4879916)",0.02426,"[581.0, 727.83333, 2697.0, 180.33333, 251.25, 632.91667, 1062.58333, 537.75, 1550.58333, 251.0, 2553.75, 8413.16667, 318.91667, 808.25, 3148.25]","[8.275, 8.96667, 7.73333, 6.98333, 8.74167, 9.28333, 9.15833, 7.53333, 8.41667, 10.03333, 10.31667, 7.74167, 8.26667, 9.775, 11.78333]","[147, 62, 3559, 92, 70, 263, 926, 194, 1538, 136, 1440, 21803, 120, 562, 1677]","[0.02097, 0.00763, 0.10196, 0.03556, 0.02426, 0.03858, 0.07974, 0.02713, 0.08352, 0.05443, 0.0581, 0.20053, 0.03103, 0.0682, 0.06279]","['(39.9398601, -90.26200419999999)', '(39.5662363, -90.8294002)', '(40.0577692, -91.13530200000001)', '(39.9379573, -90.7152749)', '(39.6094934, -90.4879916)', '(39.4029862, -90.37483540000001)', '(39.0704754, -90.37483540000001)', '(40.0221361, -89.81303559999999)', '(39.7341219, -90.2244662)', '(39.1733216, -90.658333)', '(39.2375268, -89.9253233)', '(39.7337353, -89.62516459999999)', '(40.1844543, -90.6393702)', '(39.3964742, -91.28910359999999)', '(39.0669568, -90.9820668)']",15,False,False,False,False
4038,2010,IL,Stark,294.91667,9.75833,169,3028.83333,"(41.0795661, -89.81303559999999)",0.0558,"[1927.5, 2421.83333, 2437.25, 294.91667, 2069.5, 2057.58333, 892.83333, 10084.58333, 398.0, 721.91667, 658.5, 7105.91667, 1559.58333, 3083.66667, 7278.33333]","[10.01667, 9.55833, 9.125, 9.75833, 10.80833, 11.69167, 9.95833, 10.51667, 12.025, 7.76667, 10.24167, 9.91667, 7.68333, 10.3, 9.54167]","[1246, 3466, 1838, 169, 1141, 1238, 560, 15332, 110, 1262, 248, 4721, 577, 3095, 9727]","[0.06476, 0.13671, 0.06879, 0.0558, 0.05953, 0.07037, 0.06253, 0.15967, 0.03322, 0.13573, 0.03859, 0.06587, 0.02837, 0.10349, 0.12749]","['(41.6789842, -89.3226954)', '(40.8776411, -90.2244662)', '(41.361088, -90.0746767)', '(41.0795661, -89.81303559999999)', '(41.35991560000001, -89.4742177)', '(40.5531823, -90.2244662)', '(41.1985037, -90.6773046)', '(40.7156396, -89.77553379999999)', '(41.238474, -89.28472510000002)', '(40.8758777, -90.6773046)', '(40.9972934, -89.3606298)', '(40.5522078, -89.4742177)', '(40.7128889, -89.1705998)', '(41.7605503, -89.8505012)', '(41.39982089999999, -90.563609)']",15,False,False,False,False
4044,2010,IL,Union,953.58333,11.96667,260,7971.0,"(37.5086525, -89.28472510000002)",0.03262,"[192.25, 1059.41667, 953.58333, 671.33333, 1184.75, 2457.5, 556.41667, 308.25, 2220.5, 1318.08333, 348.91667, 3157.91667, 394.25, 2773.91667, 712.66667, 1844.83333, 588.41667, 590.08333, 3007.58333]","[9.49167, 11.05833, 11.96667, 9.50833, 10.18333, 8.225, 12.49167, 12.425, 12.325, 8.775, 11.75833, 9.70833, 10.28333, 9.05833, 7.25, 9.71667, 10.075, 9.64167, 7.33333]","[116, 548, 260, 961, 1568, 2222, 275, 366, 2066, 688, 757, 2787, 421, 3942, 746, 702, 238, 771, 6981]","[0.05709, 0.05712, 0.03262, 0.13588, 0.13477, 0.07441, 0.06174, 0.14759, 0.11475, 0.04579, 0.25482, 0.08567, 0.10964, 0.12861, 0.07585, 0.03694, 0.04074, 0.12623, 0.17015]","['(37.417132, -88.59517509999999)', '(38.0612022, -89.3226954)', '(37.5086525, -89.28472510000002)', '(37.2478298, -88.7493998)', '(37.7149675, -88.55653099999999)', '(37.7218304, -89.3226954)', '(37.42037639999999, -88.90306)', '(37.2512419, -89.1324866)', '(38.0157197, -88.90306)', '(38.0629321, -89.77553379999999)', '(37.1670164, -89.3606298)', '(37.7183241, -88.86469799999999)', '(37.0359869, -89.0179332)', '(37.03306070000001, -88.7108964)', '(37.723555, -89.77553379999999)', '(37.0394443, -89.62516459999999)', '(37.2115595, -90.0746767)', '(36.8661576, -89.3226954)', '(37.3821319, -89.62516459999999)']",19,False,False,False,True
