,Year,State,County,Number Unemployed,Percent Unemployed,Number of Crimes,Total Labor Force,Coordinates,Crimes per Capita,Number Unemployed for Area Counties (50 Miles),Unemployed Percent for Area Counties (50 Miles),Number of Crimes for Area Counties (50 Miles),Crime Percent for Area Counties (50 Miles),Coordinates for Area Counties (50 Miles),Total Area Counties (50 Miles),Highest Unemployment in Area (50 Miles),Lowest Unemployment in Area (50 Miles),Highest Crime Rate in Area (50 Miles),Lowest Crime Rate in Area (50 Miles)
65,2015,AL,Perry,347.5,9.96667,110,3484.33333,"(32.598888, -87.30161319999999)",0.03157,"[567.33333, 470.33333, 347.5, 1494.66667, 318.58333, 414.08333, 1330.33333, 1079.25, 441.58333, 566.5]","[6.625, 7.78333, 9.96667, 9.575, 11.08333, 14.65, 5.19167, 5.63333, 11.53333, 7.64167]","[385, 88, 110, 3629, 302, 392, 841, 2647, 495, 1190]","[0.04491, 0.01455, 0.03157, 0.2328, 0.10495, 0.1388, 0.03285, 0.13834, 0.12936, 0.16069]","['(32.9562798, -87.14228949999999)', '(32.7859102, -87.6186379)', '(32.598888, -87.30161319999999)', '(32.2332138, -87.14228949999999)', '(32.9718107, -87.9334803)', '(32.0105439, -87.3413599)', '(32.5791817, -86.49965460000001)', '(32.944392, -86.6611083)', '(32.221464, -86.6611083)', '(32.2459085, -87.77633329999999)']",10,False,False,False,False
71,2015,AL,Blount,1321.25,5.4,2911,24472.83333,"(34.0145152, -86.49965460000001)",0.11895,"[1321.25, 2639.0, 3226.08333, 4555.41667, 1846.41667, 3231.41667, 1912.16667, 9373.33333, 706.25, 608.75, 2333.0, 17924.58333, 2309.5]","[5.4, 6.19167, 5.88333, 4.20833, 7.24167, 7.03333, 5.26667, 5.48333, 7.51667, 5.475, 5.79167, 5.75833, 6.55]","[2911, 8530, 1851, 5516, 5456, 7579, 3458, 5477, 286, 1456, 3776, 26021, 6979]","[0.11895, 0.19984, 0.03371, 0.05098, 0.21345, 0.16508, 0.09504, 0.03205, 0.03051, 0.13049, 0.09351, 0.0837, 0.19864]","['(34.0145152, -86.49965460000001)', '(34.0455341, -86.05296039999999)', '(34.4240875, -86.86218269999999)', '(33.3039292, -86.6611083)', '(33.8563605, -87.30161319999999)', '(33.7701576, -85.80766)', '(34.2011537, -86.8220341)', '(34.72397309999999, -86.49965460000001)', '(34.1690087, -87.3413599)', '(34.1665322, -85.684578)', '(34.3652297, -86.3376761)', '(33.4914122, -86.9824288)', '(33.4231716, -86.1344697)']",13,False,False,False,False
77,2015,AL,Butler,693.91667,7.58333,1385,9133.58333,"(31.6760284, -86.6611083)",0.15164,"[983.16667, 693.91667, 1207.0, 1494.66667, 738.5, 414.08333, 431.66667, 441.58333, 380.5, 1026.0, 1104.08333, 6407.91667]","[6.58333, 7.58333, 5.95833, 9.575, 10.06667, 14.65, 9.21667, 11.53333, 6.0, 7.04167, 7.15, 6.1]","[2528, 1385, 812, 3629, 931, 392, 503, 495, 610, 1719, 2219, 19258]","[0.16922, 0.15164, 0.04006, 0.2328, 0.12686, 0.1388, 0.10747, 0.12936, 0.096, 0.11776, 0.14356, 0.18332]","['(31.8395163, -86.0121573)', '(31.6760284, -86.6611083)', '(31.4751172, -86.0121573)', '(32.2332138, -87.14228949999999)', '(31.5119068, -87.460397)', '(32.0105439, -87.3413599)', '(31.501571, -86.9824288)', '(32.221464, -86.6611083)', '(31.6671872, -86.3376761)', '(31.1394734, -87.14228949999999)', '(31.3066438, -86.49965460000001)', '(32.2077447, -86.17517590000001)']",12,False,False,False,False
83,2015,AL,Clarke,937.5,11.725,989,7991.58333,"(31.7002461, -87.77633329999999)",0.12376,"[937.5, 738.5, 414.08333, 398.16667, 431.66667, 566.5, 597.0]","[11.725, 10.06667, 14.65, 9.10833, 9.21667, 7.64167, 8.925]","[989, 931, 392, 184, 503, 1190, 477]","[0.12376, 0.12686, 0.1388, 0.04203, 0.10747, 0.16069, 0.0712]","['(31.7002461, -87.77633329999999)', '(31.5119068, -87.460397)', '(32.0105439, -87.3413599)', '(32.0716631, -88.24611829999999)', '(31.501571, -86.9824288)', '(32.2459085, -87.77633329999999)', '(31.3422346, -88.24611829999999)']",7,False,False,False,False
89,2015,AL,Coffee,1207.0,5.95833,812,20268.58333,"(31.4751172, -86.0121573)",0.04006,"[1261.66667, 983.16667, 456.41667, 693.91667, 1207.0, 637.83333, 764.66667, 379.08333, 2782.66667, 380.5, 1104.08333, 412.08333]","[6.35833, 6.58333, 6.8, 7.58333, 5.95833, 5.90833, 8.875, 7.925, 6.25, 6.0, 7.15, 6.15]","[2641, 2528, 740, 1385, 812, 1339, 1343, 472, 1643, 610, 2219, 506]","[0.13314, 0.16922, 0.11019, 0.15164, 0.04006, 0.12415, 0.156, 0.09881, 0.03688, 0.096, 0.14356, 0.07561]","['(31.4645298, -85.684578)', '(31.8395163, -86.0121573)', '(31.4469377, -85.1894045)', '(31.6760284, -86.6611083)', '(31.4751172, -86.0121573)', '(31.0990456, -85.684578)', '(31.8172896, -85.35496499999999)', '(32.0573536, -85.7256372)', '(31.1318686, -85.31362179999999)', '(31.6671872, -86.3376761)', '(31.3066438, -86.49965460000001)', '(30.8740806, -85.80766)']",12,False,False,False,False
95,2015,AL,Dallas,1494.66667,9.575,3629,15588.75,"(32.2332138, -87.14228949999999)",0.2328,"[567.33333, 470.33333, 347.5, 693.91667, 1494.66667, 414.08333, 1330.33333, 441.58333, 566.5]","[6.625, 7.78333, 9.96667, 7.58333, 9.575, 14.65, 5.19167, 11.53333, 7.64167]","[385, 88, 110, 1385, 3629, 392, 841, 495, 1190]","[0.04491, 0.01455, 0.03157, 0.15164, 0.2328, 0.1388, 0.03285, 0.12936, 0.16069]","['(32.9562798, -87.14228949999999)', '(32.7859102, -87.6186379)', '(32.598888, -87.30161319999999)', '(31.6760284, -86.6611083)', '(32.2332138, -87.14228949999999)', '(32.0105439, -87.3413599)', '(32.5791817, -86.49965460000001)', '(32.221464, -86.6611083)', '(32.2459085, -87.77633329999999)']",9,False,False,True,False
101,2015,AL,Dekalb,1744.66667,6.06667,3170,28766.66667,"(34.5211397, -85.684578)",0.1102,"[1744.66667, 2639.0, 1560.83333, 9373.33333, 608.75, 2333.0, 429.75, 1201.58333, 2867.33333, 1543.08333, 1754.41667, 1637.83333, 650.5, 2910.66667]","[6.06667, 6.19167, 6.64167, 5.48333, 5.475, 5.79167, 5.475, 6.61667, 6.675, 5.9, 5.975, 5.21667, 6.15833, 6.38333]","[3170, 8530, 1922, 5477, 1456, 3776, 148, 4424, 6946, 2922, 3868, 2703, 1110, 5909]","[0.1102, 0.19984, 0.08192, 0.03205, 0.13049, 0.09351, 0.01885, 0.24375, 0.1616, 0.11172, 0.13156, 0.08615, 0.10519, 0.12958]","['(34.5211397, -85.684578)', '(34.0455341, -86.05296039999999)', '(34.7090388, -86.0121573)', '(34.72397309999999, -86.49965460000001)', '(34.1665322, -85.684578)', '(34.3652297, -86.3376761)', '(34.9109017, -85.47880649999999)', '(34.0132398, -85.14793639999999)', '(34.2828967, -85.2308414)', '(34.4891699, -84.8567932)', '(34.6858231, -85.35496499999999)', '(34.8981727, -85.14793639999999)', '(34.4632661, -85.31362179999999)', '(34.8033566, -84.981754)']",14,False,False,False,False
107,2015,AL,Elmore,1845.83333,5.025,3396,36742.91667,"(32.5647083, -86.0121573)",0.09243,"[3719.08333, 983.16667, 295.75, 641.08333, 1845.83333, 1330.33333, 379.08333, 1079.25, 441.58333, 905.58333, 6407.91667, 1141.91667]","[5.25, 6.58333, 6.68333, 8.05, 5.025, 5.19167, 7.925, 5.63333, 11.53333, 6.05833, 6.1, 6.08333]","[6934, 2528, 400, 1475, 3396, 841, 472, 2647, 495, 2597, 19258, 2472]","[0.09786, 0.16922, 0.09039, 0.18513, 0.09243, 0.03285, 0.09881, 0.13834, 0.12936, 0.17343, 0.18332, 0.13191]","['(32.5888702, -85.39627689999999)', '(31.8395163, -86.0121573)', '(32.8897772, -86.2196937)', '(32.3731182, -85.684578)', '(32.5647083, -86.0121573)', '(32.5791817, -86.49965460000001)', '(32.0573536, -85.7256372)', '(32.944392, -86.6611083)', '(32.221464, -86.6611083)', '(32.9028048, -85.35496499999999)', '(32.2077447, -86.17517590000001)', '(32.9201244, -85.84862360000001)']",12,False,True,False,False
113,2015,AL,Etowah,2639.0,6.19167,8530,42684.41667,"(34.0455341, -86.05296039999999)",0.19984,"[1321.25, 1744.66667, 2639.0, 3231.41667, 1912.16667, 1560.83333, 608.75, 342.25, 2333.0, 2309.5, 2867.33333]","[5.4, 6.06667, 6.19167, 7.03333, 5.26667, 6.64167, 5.475, 6.025, 5.79167, 6.55, 6.675]","[2911, 3170, 8530, 7579, 3458, 1922, 1456, 365, 3776, 6979, 6946]","[0.11895, 0.1102, 0.19984, 0.16508, 0.09504, 0.08192, 0.13049, 0.06429, 0.09351, 0.19864, 0.1616]","['(34.0145152, -86.49965460000001)', '(34.5211397, -85.684578)', '(34.0455341, -86.05296039999999)', '(33.7701576, -85.80766)', '(34.2011537, -86.8220341)', '(34.7090388, -86.0121573)', '(34.1665322, -85.684578)', '(33.6261707, -85.52002399999999)', '(34.3652297, -86.3376761)', '(33.4231716, -86.1344697)', '(34.2828967, -85.2308414)']",11,False,False,True,False
119,2015,AL,Geneva,637.83333,5.90833,1339,10785.16667,"(31.0990456, -85.684578)",0.12415,"[1261.66667, 456.41667, 1207.0, 637.83333, 2782.66667, 412.08333, 1310.0, 1021.91667, 572.33333, 249.83333]","[6.35833, 6.8, 5.95833, 5.90833, 6.25, 6.15, 4.70833, 5.9, 5.96667, 8.08333]","[2641, 740, 812, 1339, 1643, 506, 3118, 2135, 795, 346]","[0.13314, 0.11019, 0.04006, 0.12415, 0.03688, 0.07561, 0.11198, 0.12332, 0.08272, 0.11197]","['(31.4645298, -85.684578)', '(31.4469377, -85.1894045)', '(31.4751172, -86.0121573)', '(31.0990456, -85.684578)', '(31.1318686, -85.31362179999999)', '(30.8740806, -85.80766)', '(30.56401989999999, -86.17517590000001)', '(30.7150882, -85.1894045)', '(30.548737, -85.684578)', '(30.9331429, -84.8984775)']",10,False,False,False,False
125,2015,AL,Greene,318.58333,11.08333,302,2877.58333,"(32.9718107, -87.9334803)",0.10495,"[567.33333, 470.33333, 347.5, 318.58333, 407.58333, 541.58333, 5384.91667, 369.83333, 1764.41667]","[6.625, 7.78333, 9.96667, 11.08333, 7.98333, 6.775, 5.45, 10.33333, 7.01667]","[385, 88, 110, 302, 351, 238, 15115, 188, 346]","[0.04491, 0.01455, 0.03157, 0.10495, 0.06873, 0.02972, 0.15288, 0.05257, 0.01377]","['(32.9562798, -87.14228949999999)', '(32.7859102, -87.6186379)', '(32.598888, -87.30161319999999)', '(32.9718107, -87.9334803)', '(32.6155551, -88.24611829999999)', '(33.3339954, -88.0900762)', '(33.3227653, -87.460397)', '(32.8018452, -88.7108964)', '(33.473423, -88.4403883)']",9,True,False,False,False
131,2015,AL,Marion,867.58333,6.95,882,12482.58333,"(34.0441174, -87.77633329999999)",0.07066,"[354.75, 867.58333, 1846.41667, 1869.83333, 450.66667, 706.25, 878.66667, 1056.5, 1141.25, 583.75]","[6.30833, 6.95, 7.24167, 7.925, 7.00833, 7.51667, 6.43333, 7.725, 7.35833, 5.70833]","[286, 882, 5456, 3330, 347, 286, 1658, 933, 879, 684]","[0.05093, 0.07066, 0.21345, 0.14109, 0.05404, 0.03051, 0.12137, 0.06824, 0.05677, 0.06699]","['(33.6923649, -88.0900762)', '(34.0441174, -87.77633329999999)', '(33.8563605, -87.30161319999999)', '(34.7117567, -87.89424509999999)', '(33.6871392, -87.77633329999999)', '(34.1690087, -87.3413599)', '(34.3967457, -87.6186379)', '(34.567428, -87.30161319999999)', '(33.8773585, -88.55653099999999)', '(34.2317882, -88.4016041)']",10,False,False,False,False
137,2015,AL,Mobile,12852.75,6.875,34890,186910.0,"(30.6082227, -88.24611829999999)",0.18667,"[12852.75, 4861.75, 663.75, 326.0, 4151.66667, 5086.41667]","[6.875, 5.54167, 7.5, 7.53333, 7.03333, 5.925]","[34890, 9008, 28, 100, 9438, 18441]","[0.18667, 0.10271, 0.00316, 0.0231, 0.16003, 0.2153]","['(30.6082227, -88.24611829999999)', '(30.6010744, -87.77633329999999)', '(30.8431226, -88.6723578)', '(31.1646163, -88.7108964)', '(30.4278212, -88.55653099999999)', '(30.432087, -89.0179332)']",6,False,False,False,False
143,2015,AL,Monroe,738.5,10.06667,931,7339.0,"(31.5119068, -87.460397)",0.12686,"[693.91667, 937.5, 738.5, 414.08333, 431.66667, 1026.0, 597.0]","[7.58333, 11.725, 10.06667, 14.65, 9.21667, 7.04167, 8.925]","[1385, 989, 931, 392, 503, 1719, 477]","[0.15164, 0.12376, 0.12686, 0.1388, 0.10747, 0.11776, 0.0712]","['(31.6760284, -86.6611083)', '(31.7002461, -87.77633329999999)', '(31.5119068, -87.460397)', '(32.0105439, -87.3413599)', '(31.501571, -86.9824288)', '(31.1394734, -87.14228949999999)', '(31.3422346, -88.24611829999999)']",7,False,False,False,False
149,2015,AL,Morgan,3226.08333,5.88333,1851,54903.91667,"(34.4240875, -86.86218269999999)",0.03371,"[1321.25, 3226.08333, 1846.41667, 1912.16667, 9373.33333, 706.25, 878.66667, 1056.5, 2333.0, 2191.25]","[5.4, 5.88333, 7.24167, 5.26667, 5.48333, 7.51667, 6.43333, 7.725, 5.79167, 5.48333]","[2911, 1851, 5456, 3458, 5477, 286, 1658, 933, 3776, 2575]","[0.11895, 0.03371, 0.21345, 0.09504, 0.03205, 0.03051, 0.12137, 0.06824, 0.09351, 0.06446]","['(34.0145152, -86.49965460000001)', '(34.4240875, -86.86218269999999)', '(33.8563605, -87.30161319999999)', '(34.2011537, -86.8220341)', '(34.72397309999999, -86.49965460000001)', '(34.1690087, -87.3413599)', '(34.3967457, -87.6186379)', '(34.567428, -87.30161319999999)', '(34.3652297, -86.3376761)', '(34.78000720000001, -86.9423801)']",10,False,False,False,False
155,2015,AL,Shelby,4555.41667,4.20833,5516,108198.25,"(33.3039292, -86.6611083)",0.05098,"[567.33333, 340.16667, 295.75, 1321.25, 4555.41667, 1079.25, 17924.58333, 2309.5, 5384.91667]","[6.625, 6.125, 6.68333, 5.4, 4.20833, 5.63333, 5.75833, 6.55, 5.45]","[385, 273, 400, 2911, 5516, 2647, 26021, 6979, 15115]","[0.04491, 0.0492, 0.09039, 0.11895, 0.05098, 0.13834, 0.0837, 0.19864, 0.15288]","['(32.9562798, -87.14228949999999)', '(33.279527, -85.84862360000001)', '(32.8897772, -86.2196937)', '(34.0145152, -86.49965460000001)', '(33.3039292, -86.6611083)', '(32.944392, -86.6611083)', '(33.4914122, -86.9824288)', '(33.4231716, -86.1344697)', '(33.3227653, -87.460397)']",9,False,True,False,False
161,2015,AL,Sumter,407.58333,7.98333,351,5106.91667,"(32.6155551, -88.24611829999999)",0.06873,"[470.33333, 318.58333, 407.58333, 398.16667, 566.5, 369.83333, 2075.75]","[7.78333, 11.08333, 7.98333, 9.10833, 7.64167, 10.33333, 6.55]","[88, 302, 351, 184, 1190, 188, 6095]","[0.01455, 0.10495, 0.06873, 0.04203, 0.16069, 0.05257, 0.19251]","['(32.7859102, -87.6186379)', '(32.9718107, -87.9334803)', '(32.6155551, -88.24611829999999)', '(32.0716631, -88.24611829999999)', '(32.2459085, -87.77633329999999)', '(32.8018452, -88.7108964)', '(32.4401578, -88.7108964)']",7,False,False,False,False
167,2015,AL,Walker,1846.41667,7.24167,5456,25560.58333,"(33.8563605, -87.30161319999999)",0.21345,"[354.75, 1321.25, 867.58333, 3226.08333, 1846.41667, 1912.16667, 450.66667, 706.25, 878.66667, 1056.5, 17924.58333, 5384.91667]","[6.30833, 5.4, 6.95, 5.88333, 7.24167, 5.26667, 7.00833, 7.51667, 6.43333, 7.725, 5.75833, 5.45]","[286, 2911, 882, 1851, 5456, 3458, 347, 286, 1658, 933, 26021, 15115]","[0.05093, 0.11895, 0.07066, 0.03371, 0.21345, 0.09504, 0.05404, 0.03051, 0.12137, 0.06824, 0.0837, 0.15288]","['(33.6923649, -88.0900762)', '(34.0145152, -86.49965460000001)', '(34.0441174, -87.77633329999999)', '(34.4240875, -86.86218269999999)', '(33.8563605, -87.30161319999999)', '(34.2011537, -86.8220341)', '(33.6871392, -87.77633329999999)', '(34.1690087, -87.3413599)', '(34.3967457, -87.6186379)', '(34.567428, -87.30161319999999)', '(33.4914122, -86.9824288)', '(33.3227653, -87.460397)']",12,False,False,True,False
