,Year,Average (Monthly) Percent Unemployed,county,state
0,2010,9.025,Lee County,AL
1,2011,8.05,Lee County,AL
2,2012,6.766666667,Lee County,AL
3,2013,5.858333333,Lee County,AL
4,2014,5.566666667,Lee County,AL
5,2015,5.25,Lee County,AL
6,2010,11.425,Bibb County,AL
7,2011,10.475,Bibb County,AL
8,2012,8.541666667,Bibb County,AL
9,2013,7.916666667,Bibb County,AL
10,2014,7.208333333,Bibb County,AL
11,2015,6.625,Bibb County,AL
12,2010,14.46666667,Clay County,AL
13,2011,11.84166667,Clay County,AL
14,2012,9.366666667,Clay County,AL
15,2013,8.35,Clay County,AL
16,2014,7.158333333,Clay County,AL
17,2015,6.125,Clay County,AL
18,2010,8.833333333,Dale County,AL
19,2011,8.308333333,Dale County,AL
20,2012,7.425,Dale County,AL
21,2013,7.375,Dale County,AL
22,2014,7.058333333,Dale County,AL
23,2015,6.358333333,Dale County,AL
24,2010,15.09166667,Hale County,AL
25,2011,13.825,Hale County,AL
26,2012,11.46666667,Hale County,AL
27,2013,11.61666667,Hale County,AL
28,2014,9.883333333,Hale County,AL
29,2015,7.783333333,Hale County,AL
30,2010,9.441666667,Pike County,AL
31,2011,8.866666667,Pike County,AL
32,2012,7.975,Pike County,AL
33,2013,7.633333333,Pike County,AL
34,2014,7.358333333,Pike County,AL
35,2015,6.583333333,Pike County,AL
36,2010,15.40833333,Coosa County,AL
37,2011,12.475,Coosa County,AL
38,2012,9.35,Coosa County,AL
39,2013,9.15,Coosa County,AL
40,2014,8.816666667,Coosa County,AL
41,2015,6.683333333,Coosa County,AL
42,2010,10.91666667,Henry County,AL
43,2011,9.725,Henry County,AL
44,2012,8.283333333,Henry County,AL
45,2013,7.675,Henry County,AL
46,2014,7.483333333,Henry County,AL
47,2015,6.8,Henry County,AL
48,2010,13.20833333,Lamar County,AL
49,2011,9.716666667,Lamar County,AL
50,2012,7.516666667,Lamar County,AL
51,2013,7.025,Lamar County,AL
52,2014,6.966666667,Lamar County,AL
53,2015,6.308333333,Lamar County,AL
54,2010,14.76666667,Macon County,AL
55,2011,14.01666667,Macon County,AL
56,2012,10.725,Macon County,AL
57,2013,9.641666667,Macon County,AL
58,2014,9.1,Macon County,AL
59,2015,8.05,Macon County,AL
60,2010,16.84166667,Perry County,AL
61,2011,16.5,Perry County,AL
62,2012,13.325,Perry County,AL
63,2013,13.53333333,Perry County,AL
64,2014,12.1,Perry County,AL
65,2015,9.966666667,Perry County,AL
66,2010,9.841666667,Blount County,AL
67,2011,8.7,Blount County,AL
68,2012,6.883333333,Blount County,AL
69,2013,6.258333333,Blount County,AL
70,2014,6.133333333,Blount County,AL
71,2015,5.4,Blount County,AL
72,2010,13.66666667,Butler County,AL
73,2011,12.45,Butler County,AL
74,2012,11.525,Butler County,AL
75,2013,10.275,Butler County,AL
76,2014,8.533333333,Butler County,AL
77,2015,7.583333333,Butler County,AL
78,2010,19.85833333,Clarke County,AL
79,2011,18.76666667,Clarke County,AL
80,2012,15.01666667,Clarke County,AL
81,2013,13.75833333,Clarke County,AL
82,2014,12.15833333,Clarke County,AL
83,2015,11.725,Clarke County,AL
84,2010,8.608333333,Coffee County,AL
85,2011,8.15,Coffee County,AL
86,2012,7.041666667,Coffee County,AL
87,2013,6.891666667,Coffee County,AL
88,2014,6.616666667,Coffee County,AL
89,2015,5.958333333,Coffee County,AL
90,2010,16.875,Dallas County,AL
91,2011,15.08333333,Dallas County,AL
92,2012,12.90833333,Dallas County,AL
93,2013,12.21666667,Dallas County,AL
94,2014,11.24166667,Dallas County,AL
95,2015,9.575,Dallas County,AL
96,2010,12.69166667,DeKalb County,AL
97,2011,11.84166667,DeKalb County,AL
98,2012,9.05,DeKalb County,AL
99,2013,7.608333333,DeKalb County,AL
100,2014,6.866666667,DeKalb County,AL
101,2015,6.066666667,DeKalb County,AL
102,2010,9.058333333,Elmore County,AL
103,2011,8.4,Elmore County,AL
104,2012,6.95,Elmore County,AL
105,2013,6.15,Elmore County,AL
106,2014,5.716666667,Elmore County,AL
107,2015,5.025,Elmore County,AL
108,2010,10.94166667,Etowah County,AL
109,2011,10.04166667,Etowah County,AL
110,2012,8.225,Etowah County,AL
111,2013,7.575,Etowah County,AL
112,2014,7.033333333,Etowah County,AL
113,2015,6.191666667,Etowah County,AL
114,2010,10.375,Geneva County,AL
115,2011,9.208333333,Geneva County,AL
116,2012,7.566666667,Geneva County,AL
117,2013,6.95,Geneva County,AL
118,2014,6.683333333,Geneva County,AL
119,2015,5.908333333,Geneva County,AL
120,2010,17.24166667,Greene County,AL
121,2011,17.25833333,Greene County,AL
122,2012,13.55833333,Greene County,AL
123,2013,12.76666667,Greene County,AL
124,2014,12.45,Greene County,AL
125,2015,11.08333333,Greene County,AL
126,2010,13.55833333,Marion County,AL
127,2011,11.2,Marion County,AL
128,2012,8.925,Marion County,AL
129,2013,7.908333333,Marion County,AL
130,2014,7.891666667,Marion County,AL
131,2015,6.95,Marion County,AL
132,2010,11.33333333,Mobile County,AL
133,2011,10.76666667,Mobile County,AL
134,2012,9.183333333,Mobile County,AL
135,2013,8.541666667,Mobile County,AL
136,2014,7.741666667,Mobile County,AL
137,2015,6.875,Mobile County,AL
138,2010,18.13333333,Monroe County,AL
139,2011,15.675,Monroe County,AL
140,2012,12.525,Monroe County,AL
141,2013,11.88333333,Monroe County,AL
142,2014,11.05,Monroe County,AL
