Year,State,County,Average Number Unemployed,Average Percent Unemployed,Number of Crimes,Total Labor Force,Corrdinates
2013,AL,Macon,811.4166667000002,9.641666667,2201,8414.75,"(32.3731182, -85.684578)"
2014,AL,Macon,750.3333332999998,9.1,1864,8239.416667,"(32.3731182, -85.684578)"
2015,AL,Macon,641.0833332999998,8.05,1475,7967.416667,"(32.3731182, -85.684578)"
2010,AL,Perry,654.5,16.84166667,1,3890.583333,"(32.598888, -87.30161319999999)"
2011,AL,Perry,638.75,16.5,1,3865.833333,"(32.598888, -87.30161319999999)"
2012,AL,Perry,491.0,13.325,0,3683.25,"(32.598888, -87.30161319999999)"
2013,AL,Perry,482.5,13.53333333,6,3565.75,"(32.598888, -87.30161319999999)"
2014,AL,Perry,422.9166667,12.1,42,3490.25,"(32.598888, -87.30161319999999)"
2015,AL,Perry,347.5,9.966666667,110,3484.333333,"(32.598888, -87.30161319999999)"
2010,AL,Blount,2445.833333,9.841666667,661,24905.83333,"(34.0145152, -86.49965460000001)"
2011,AL,Blount,2183.916667,8.7,2825,25123.33333,"(34.0145152, -86.49965460000001)"
2012,AL,Blount,1716.4166670000004,6.883333333,2925,24960.25,"(34.0145152, -86.49965460000001)"
2013,AL,Blount,1561.5,6.258333333,2843,24886.91667,"(34.0145152, -86.49965460000001)"
2014,AL,Blount,1503.416667,6.133333333,2766,24535.08333,"(34.0145152, -86.49965460000001)"
2015,AL,Blount,1321.25,5.4,2911,24472.83333,"(34.0145152, -86.49965460000001)"
2010,AL,Butler,1262.75,13.66666667,1224,9261.0,"(31.6760284, -86.6611083)"
2011,AL,Butler,1146.0,12.45,1690,9188.166667,"(31.6760284, -86.6611083)"
2012,AL,Butler,1049.083333,11.525,1427,9087.583333,"(31.6760284, -86.6611083)"
2013,AL,Butler,941.4166667000003,10.275,1050,9146.916667,"(31.6760284, -86.6611083)"
2014,AL,Butler,792.1666667000002,8.533333333,1498,9272.416667,"(31.6760284, -86.6611083)"
2015,AL,Butler,693.9166667000002,7.583333333,1385,9133.583333,"(31.6760284, -86.6611083)"
2010,AL,Clarke,1807.666667,19.85833333,761,9107.25,"(31.7002461, -87.77633329999999)"
2011,AL,Clarke,1662.416667,18.76666667,1059,8843.666667,"(31.7002461, -87.77633329999999)"
2012,AL,Clarke,1258.25,15.01666667,1365,8373.833333,"(31.7002461, -87.77633329999999)"
2013,AL,Clarke,1140.25,13.75833333,925,8285.083333,"(31.7002461, -87.77633329999999)"
2014,AL,Clarke,992.6666667000003,12.15833333,678,8157.083333,"(31.7002461, -87.77633329999999)"
2015,AL,Clarke,937.5,11.725,989,7991.583333,"(31.7002461, -87.77633329999999)"
2010,AL,Coffee,1816.75,8.608333333,753,21087.83333,"(31.4751172, -86.0121573)"
2011,AL,Coffee,1690.3333329999996,8.15,1009,20749.0,"(31.4751172, -86.0121573)"
2012,AL,Coffee,1453.0,7.041666667,797,20611.58333,"(31.4751172, -86.0121573)"
2013,AL,Coffee,1410.666667,6.891666667000001,902,20515.41667,"(31.4751172, -86.0121573)"
2014,AL,Coffee,1342.583333,6.6166666670000005,841,20234.08333,"(31.4751172, -86.0121573)"
2015,AL,Coffee,1207.0,5.958333333,812,20268.58333,"(31.4751172, -86.0121573)"
2010,AL,Dallas,3002.416667,16.875,3401,17808.75,"(32.2332138, -87.14228949999999)"
2011,AL,Dallas,2648.25,15.08333333,6967,17514.58333,"(32.2332138, -87.14228949999999)"
2012,AL,Dallas,2162.833333,12.90833333,5350,16745.66667,"(32.2332138, -87.14228949999999)"
2013,AL,Dallas,1992.416667,12.21666667,4925,16293.5,"(32.2332138, -87.14228949999999)"
2014,AL,Dallas,1799.0,11.24166667,5787,16008.25,"(32.2332138, -87.14228949999999)"
2015,AL,Dallas,1494.666667,9.575,3629,15588.75,"(32.2332138, -87.14228949999999)"
2010,AL,Dekalb,3915.666667,12.69166667,576,30941.75,"(34.5211397, -85.684578)"
2011,AL,Dekalb,3529.916667,11.84166667,3861,29808.75,"(34.5211397, -85.684578)"
2012,AL,Dekalb,2609.166667,9.05,3944,28833.16667,"(34.5211397, -85.684578)"
2013,AL,Dekalb,2210.166667,7.608333332999999,3074,29033.33333,"(34.5211397, -85.684578)"
2014,AL,Dekalb,1988.75,6.8666666670000005,2668,28953.5,"(34.5211397, -85.684578)"
2015,AL,Dekalb,1744.6666670000004,6.066666667000001,3170,28766.66667,"(34.5211397, -85.684578)"
2010,AL,Elmore,3320.666667,9.058333333,132,36682.75,"(32.5647083, -86.0121573)"
2011,AL,Elmore,3076.0,8.4,2554,36597.0,"(32.5647083, -86.0121573)"
2012,AL,Elmore,2541.666667,6.95,2718,36628.16667,"(32.5647083, -86.0121573)"
2013,AL,Elmore,2271.75,6.15,2779,36929.5,"(32.5647083, -86.0121573)"
2014,AL,Elmore,2087.5,5.716666667,2747,36556.25,"(32.5647083, -86.0121573)"
2015,AL,Elmore,1845.833333,5.025,3396,36742.91667,"(32.5647083, -86.0121573)"
2010,AL,Etowah,4806.916667,10.94166667,8334,44000.16667,"(34.0455341, -86.05296039999999)"
2011,AL,Etowah,4484.416667,10.04166667,9520,44722.66667,"(34.0455341, -86.05296039999999)"
2012,AL,Etowah,3643.083333,8.225,8871,44232.5,"(34.0455341, -86.05296039999999)"
2013,AL,Etowah,3324.333333,7.575,8822,43862.0,"(34.0455341, -86.05296039999999)"
2014,AL,Etowah,3079.75,7.033333333,8611,43735.0,"(34.0455341, -86.05296039999999)"
2015,AL,Etowah,2639.0,6.191666667000001,8530,42684.41667,"(34.0455341, -86.05296039999999)"
2010,AL,Geneva,1196.75,10.375,1047,11558.75,"(31.0990456, -85.684578)"
2011,AL,Geneva,1057.166667,9.208333332999999,1421,11486.5,"(31.0990456, -85.684578)"
2012,AL,Geneva,853.0,7.566666667000001,1359,11273.75,"(31.0990456, -85.684578)"
2013,AL,Geneva,768.1666667000002,6.95,1530,11044.25,"(31.0990456, -85.684578)"
2014,AL,Geneva,720.75,6.683333332999999,1285,10795.58333,"(31.0990456, -85.684578)"
2015,AL,Geneva,637.8333332999998,5.908333333,1339,10785.16667,"(31.0990456, -85.684578)"
2010,AL,Greene,570.8333332999998,17.24166667,612,3305.833333,"(32.9718107, -87.9334803)"
2011,AL,Greene,557.9166667000002,17.25833333,685,3226.0,"(32.9718107, -87.9334803)"
2012,AL,Greene,423.75,13.55833333,456,3124.833333,"(32.9718107, -87.9334803)"
2013,AL,Greene,382.6666667,12.76666667,503,2996.333333,"(32.9718107, -87.9334803)"
2014,AL,Greene,372.0833333,12.45,527,2986.333333,"(32.9718107, -87.9334803)"
2015,AL,Greene,318.5833333,11.08333333,302,2877.583333,"(32.9718107, -87.9334803)"
2010,AL,Marion,1792.1666670000004,13.55833333,1035,13215.25,"(34.0441174, -87.77633329999999)"
2011,AL,Marion,1407.416667,11.2,1209,12556.58333,"(34.0441174, -87.77633329999999)"
2012,AL,Marion,1110.666667,8.925,1172,12450.75,"(34.0441174, -87.77633329999999)"
2013,AL,Marion,988.0,7.908333333,968,12486.83333,"(34.0441174, -87.77633329999999)"
2014,AL,Marion,971.0,7.891666667000001,1031,12293.0,"(34.0441174, -87.77633329999999)"
2015,AL,Marion,867.5833332999997,6.95,882,12482.58333,"(34.0441174, -87.77633329999999)"
2010,AL,Mobile,21786.75,11.33333333,43439,192729.8333,"(30.6082227, -88.24611829999999)"
2011,AL,Mobile,20879.83333,10.76666667,45047,193851.25,"(30.6082227, -88.24611829999999)"
2012,AL,Mobile,17313.91667,9.183333333,40262,188625.75,"(30.6082227, -88.24611829999999)"
2013,AL,Mobile,15957.5,8.541666667000001,42083,187045.8333,"(30.6082227, -88.24611829999999)"
2014,AL,Mobile,14354.83333,7.741666667,37508,185381.3333,"(30.6082227, -88.24611829999999)"
2015,AL,Mobile,12852.75,6.875,34890,186910.0,"(30.6082227, -88.24611829999999)"
2010,AL,Monroe,1580.75,18.13333333,1275,8712.166667,"(31.5119068, -87.460397)"
2011,AL,Monroe,1307.583333,15.675,1478,8324.083333,"(31.5119068, -87.460397)"
2012,AL,Monroe,999.75,12.525,1368,7970.916667,"(31.5119068, -87.460397)"
2013,AL,Monroe,922.9166667000003,11.88333333,1412,7766.166667,"(31.5119068, -87.460397)"
2014,AL,Monroe,841.75,11.05,1385,7616.916667,"(31.5119068, -87.460397)"
2015,AL,Monroe,738.5,10.06666667,931,7339.0,"(31.5119068, -87.460397)"
2010,AL,Morgan,6216.75,10.76666667,2416,57816.58333,"(34.4240875, -86.86218269999999)"
2011,AL,Morgan,5508.583333,9.433333333,2523,58318.58333,"(34.4240875, -86.86218269999999)"
2012,AL,Morgan,4479.166667,7.8,1901,57409.66667000001,"(34.4240875, -86.86218269999999)"
2013,AL,Morgan,3910.666667,6.858333332999999,1474,57001.0,"(34.4240875, -86.86218269999999)"
2014,AL,Morgan,3695.5,6.608333332999999,1262,56052.41667000001,"(34.4240875, -86.86218269999999)"
2015,AL,Morgan,3226.083333,5.883333333,1851,54903.91667000001,"(34.4240875, -86.86218269999999)"
2010,AL,Shelby,7261.583333,7.108333332999999,5810,102371.5833,"(33.3039292, -86.6611083)"
2011,AL,Shelby,6486.666667,6.225,5968,104213.6667,"(33.3039292, -86.6611083)"
2012,AL,Shelby,5299.75,5.016666667,6081,105457.6667,"(33.3039292, -86.6611083)"
2013,AL,Shelby,4950.416667,4.641666667,3719,107004.3333,"(33.3039292, -86.6611083)"
2014,AL,Shelby,4807.0,4.475,2705,107247.25,"(33.3039292, -86.6611083)"
2015,AL,Shelby,4555.416667,4.208333333,5516,108198.25,"(33.3039292, -86.6611083)"
2010,AL,Sumter,770.8333332999998,13.33333333,492,5776.916667,"(32.6155551, -88.24611829999999)"
2011,AL,Sumter,731.25,13.13333333,622,5560.333333,"(32.6155551, -88.24611829999999)"
2012,AL,Sumter,569.0,10.5,682,5417.416667,"(32.6155551, -88.24611829999999)"
2013,AL,Sumter,493.6666667,9.033333333,649,5462.916667,"(32.6155551, -88.24611829999999)"
2014,AL,Sumter,455.58333330000005,8.466666667,502,5373.916667,"(32.6155551, -88.24611829999999)"
2015,AL,Sumter,407.5833333,7.983333332999999,351,5106.916667,"(32.6155551, -88.24611829999999)"
2010,AL,Walker,3463.5,12.71666667,3336,27278.58333,"(33.8563605, -87.30161319999999)"
2011,AL,Walker,3058.333333,11.28333333,3042,27092.0,"(33.8563605, -87.30161319999999)"
2012,AL,Walker,2438.166667,9.166666667000001,5614,26574.5,"(33.8563605, -87.30161319999999)"
2013,AL,Walker,2227.75,8.458333332999999,4683,26364.08333,"(33.8563605, -87.30161319999999)"
2014,AL,Walker,2037.166667,7.908333333,5338,25760.75,"(33.8563605, -87.30161319999999)"
2015,AL,Walker,1846.416667,7.241666667,5456,25560.58333,"(33.8563605, -87.30161319999999)"
2010,AL,Wilcox,804.9166667000002,26.25833333,200,3066.083333,"(32.0105439, -87.3413599)"
2011,AL,Wilcox,689.75,23.11666667,192,2978.333333,"(32.0105439, -87.3413599)"
2012,AL,Wilcox,574.8333332999998,19.925,204,2882.916667,"(32.0105439, -87.3413599)"
2013,AL,Wilcox,535.8333333,19.26666667,279,2779.666667,"(32.0105439, -87.3413599)"
2014,AL,Wilcox,485.4166667,16.90833333,432,2865.666667,"(32.0105439, -87.3413599)"
2015,AL,Wilcox,414.0833333,14.65,392,2824.25,"(32.0105439, -87.3413599)"
2010,AL,Autauga,2282.0,8.9,700,25712.5,"(32.5791817, -86.49965460000001)"
2011,AL,Autauga,2159.416667,8.358333333,1100,25835.91667,"(32.5791817, -86.49965460000001)"
2012,AL,Autauga,1778.75,6.908333333,1186,25739.41667,"(32.5791817, -86.49965460000001)"
2013,AL,Autauga,1605.333333,6.225,1034,25810.58333,"(32.5791817, -86.49965460000001)"
2014,AL,Autauga,1494.583333,5.833333333,974,25601.16667,"(32.5791817, -86.49965460000001)"
2015,AL,Autauga,1330.333333,5.191666667,841,25602.16667,"(32.5791817, -86.49965460000001)"
2010,AL,Baldwin,8339.416667,10.00833333,8801,83459.83333,"(30.6010744, -87.77633329999999)"
2011,AL,Baldwin,7626.666667,8.958333332999999,10396,85044.83333,"(30.6010744, -87.77633329999999)"
2012,AL,Baldwin,6348.916667,7.525,10881,84414.16667,"(30.6010744, -87.77633329999999)"
2013,AL,Baldwin,5653.5,6.625,10508,85279.83333,"(30.6010744, -87.77633329999999)"
2014,AL,Baldwin,5299.916667,6.141666667000001,8477,86414.5,"(30.6010744, -87.77633329999999)"
2015,AL,Baldwin,4861.75,5.541666667,9008,87704.33333,"(30.6010744, -87.77633329999999)"
2010,AL,Barbour,1262.333333,12.375,963,10221.25,"(31.8172896, -85.35496499999999)"
2011,AL,Barbour,1137.0,11.53333333,1488,9848.75,"(31.8172896, -85.35496499999999)"
2012,AL,Barbour,1078.833333,11.525,992,9361.916667,"(31.8172896, -85.35496499999999)"
2013,AL,Barbour,931.0833332999997,10.23333333,1535,9099.333333,"(31.8172896, -85.35496499999999)"
2014,AL,Barbour,932.0,10.51666667,1461,8847.833333,"(31.8172896, -85.35496499999999)"
2015,AL,Barbour,764.6666667000002,8.875,1343,8608.916667,"(31.8172896, -85.35496499999999)"
2010,AL,Bullock,584.6666667000002,11.80833333,269,4940.25,"(32.0573536, -85.7256372)"
2011,AL,Bullock,561.1666667000002,11.61666667,365,4833.0,"(32.0573536, -85.7256372)"
2012,AL,Bullock,491.33333330000005,10.36666667,255,4736.166667,"(32.0573536, -85.7256372)"
2013,AL,Bullock,447.33333330000005,9.366666667,238,4777.916667,"(32.0573536, -85.7256372)"
2014,AL,Bullock,417.5,8.816666667,407,4732.916667,"(32.0573536, -85.7256372)"
2015,AL,Bullock,379.0833333,7.925,472,4776.666667,"(32.0573536, -85.7256372)"
2010,AL,Calhoun,5859.5,11.36666667,8222,51558.25,"(33.7701576, -85.80766)"
2011,AL,Calhoun,5304.666667,10.34166667,9127,51268.0,"(33.7701576, -85.80766)"
2012,AL,Calhoun,4396.666667,8.841666667,9862,49648.5,"(33.7701576, -85.80766)"
2013,AL,Calhoun,4242.25,8.758333333,8068,48405.33333,"(33.7701576, -85.80766)"
2014,AL,Calhoun,3772.583333,7.975,7461,47256.91667,"(33.7701576, -85.80766)"
2015,AL,Calhoun,3231.416667,7.033333333,7579,45910.16667,"(33.7701576, -85.80766)"
2010,AL,Chilton,1998.416667,10.275,2401,19462.08333,"(32.944392, -86.6611083)"
2011,AL,Chilton,1785.6666670000004,9.133333333,3476,19538.25,"(32.944392, -86.6611083)"
2012,AL,Chilton,1400.916667,7.216666667,3042,19382.5,"(32.944392, -86.6611083)"
2013,AL,Chilton,1268.666667,6.558333332999999,3073,19358.5,"(32.944392, -86.6611083)"
2014,AL,Chilton,1196.0,6.266666667000001,2809,19101.91667,"(32.944392, -86.6611083)"
2015,AL,Chilton,1079.25,5.633333333,2647,19133.58333,"(32.944392, -86.6611083)"
2010,AL,Choctaw,643.6666667000002,13.25833333,161,4859.25,"(32.0716631, -88.24611829999999)"
2011,AL,Choctaw,626.3333332999998,13.14166667,171,4764.583333,"(32.0716631, -88.24611829999999)"
2012,AL,Choctaw,494.33333330000005,10.30833333,196,4791.333333,"(32.0716631, -88.24611829999999)"
2013,AL,Choctaw,433.4166667,9.208333332999999,190,4703.25,"(32.0716631, -88.24611829999999)"
2014,AL,Choctaw,404.9166667,8.975,192,4495.083333,"(32.0716631, -88.24611829999999)"
2015,AL,Choctaw,398.1666667,9.108333333,184,4378.25,"(32.0716631, -88.24611829999999)"
2010,AL,Colbert,2774.5,11.46666667,2833,24227.58333,"(34.7117567, -87.89424509999999)"
2011,AL,Colbert,2480.916667,10.18333333,3832,24386.0,"(34.7117567, -87.89424509999999)"
2012,AL,Colbert,2103.75,8.741666667,4617,24025.75,"(34.7117567, -87.89424509999999)"
2013,AL,Colbert,1958.833333,8.183333333,4066,23895.5,"(34.7117567, -87.89424509999999)"
2014,AL,Colbert,1992.5,8.283333333,4718,24035.16667,"(34.7117567, -87.89424509999999)"
2015,AL,Colbert,1869.833333,7.925,3330,23602.58333,"(34.7117567, -87.89424509999999)"
2010,AL,Conecuh,860.0,17.25833333,752,4990.916667,"(31.501571, -86.9824288)"
2011,AL,Conecuh,727.9166667000002,15.18333333,979,4784.75,"(31.501571, -86.9824288)"
2012,AL,Conecuh,552.5,11.9,931,4634.416667,"(31.501571, -86.9824288)"
2013,AL,Conecuh,504.25,10.725,775,4695.416667,"(31.501571, -86.9824288)"
2014,AL,Conecuh,487.08333330000005,10.325,674,4717.916667,"(31.501571, -86.9824288)"
2015,AL,Conecuh,431.6666667,9.216666667,503,4680.583333,"(31.501571, -86.9824288)"
2010,AL,Cullman,3757.083333,10.44166667,4229,35959.0,"(34.2011537, -86.8220341)"
2011,AL,Cullman,3389.916667,9.508333333,4575,35669.08333,"(34.2011537, -86.8220341)"
2012,AL,Cullman,2732.916667,7.691666667000001,4516,35568.08333,"(34.2011537, -86.8220341)"
2013,AL,Cullman,2380.666667,6.65,3534,35782.75,"(34.2011537, -86.8220341)"
2014,AL,Cullman,2178.333333,6.058333332999999,3905,35929.41667,"(34.2011537, -86.8220341)"
2015,AL,Cullman,1912.166667,5.266666667,3458,36384.5,"(34.2011537, -86.8220341)"
2010,AL,Fayette,888.75,13.025,409,6830.666667,"(33.6871392, -87.77633329999999)"
2011,AL,Fayette,736.0,11.075,486,6632.416667,"(33.6871392, -87.77633329999999)"
2012,AL,Fayette,559.5,8.6,378,6502.666667,"(33.6871392, -87.77633329999999)"
2013,AL,Fayette,531.4166667,8.291666667000001,367,6406.166667,"(33.6871392, -87.77633329999999)"
2014,AL,Fayette,497.6666667,7.816666667000001,284,6350.5,"(33.6871392, -87.77633329999999)"
2015,AL,Fayette,450.6666667,7.008333333,347,6421.416667,"(33.6871392, -87.77633329999999)"
2010,AL,Houston,4244.416667,9.15,1679,46414.0,"(31.1318686, -85.31362179999999)"
2011,AL,Houston,4031.416667,8.616666667,1620,46778.08333,"(31.1318686, -85.31362179999999)"
2012,AL,Houston,3476.166667,7.541666667,1652,46053.66667,"(31.1318686, -85.31362179999999)"
2013,AL,Houston,3157.75,6.891666667000001,1626,45710.58333,"(31.1318686, -85.31362179999999)"
2014,AL,Houston,3062.25,6.775,1396,45158.83333,"(31.1318686, -85.31362179999999)"
2015,AL,Houston,2782.666667,6.25,1643,44549.33333,"(31.1318686, -85.31362179999999)"
2010,AL,Jackson,2879.5,11.85,1940,24347.0,"(34.7090388, -86.0121573)"
2011,AL,Jackson,2480.666667,10.25,2802,24162.33333,"(34.7090388, -86.0121573)"
2012,AL,Jackson,2035.75,8.575,3159,23731.08333,"(34.7090388, -86.0121573)"
2013,AL,Jackson,1865.0,7.858333332999999,2784,23686.5,"(34.7090388, -86.0121573)"
2014,AL,Jackson,1702.0833329999996,7.258333332999999,2882,23454.16667,"(34.7090388, -86.0121573)"
2015,AL,Jackson,1560.833333,6.641666667000001,1922,23461.16667,"(34.7090388, -86.0121573)"
2010,AL,Lowndes,803.0,18.45833333,588,4350.333333,"(32.221464, -86.6611083)"
2011,AL,Lowndes,749.8333332999998,17.66666667,840,4239.0,"(32.221464, -86.6611083)"
2012,AL,Lowndes,629.0,15.40833333,564,4081.166667,"(32.221464, -86.6611083)"
2013,AL,Lowndes,565.5,14.08333333,533,4008.333333,"(32.221464, -86.6611083)"
2014,AL,Lowndes,496.0,12.8,630,3873.5,"(32.221464, -86.6611083)"
2015,AL,Lowndes,441.58333330000005,11.53333333,495,3826.583333,"(32.221464, -86.6611083)"
2010,AL,Madison,14177.08333,8.35,5735,169832.5833,"(34.72397309999999, -86.49965460000001)"
2011,AL,Madison,14213.66667,8.266666667,3850,171725.75,"(34.72397309999999, -86.49965460000001)"
2012,AL,Madison,11810.33333,6.95,5704,170209.6667,"(34.72397309999999, -86.49965460000001)"
2013,AL,Madison,10811.75,6.291666667,5888,171362.3333,"(34.72397309999999, -86.49965460000001)"
2014,AL,Madison,10494.08333,6.166666667,5769,170130.75,"(34.72397309999999, -86.49965460000001)"
2015,AL,Madison,9373.333333,5.483333332999999,5477,170889.4167,"(34.72397309999999, -86.49965460000001)"
2010,AL,Marengo,1114.666667,13.7,1379,8135.333333,"(32.2459085, -87.77633329999999)"
2011,AL,Marengo,990.8333332999997,12.56666667,1409,7875.083333,"(32.2459085, -87.77633329999999)"
2012,AL,Marengo,777.0,10.15833333,1218,7650.25,"(32.2459085, -87.77633329999999)"
2013,AL,Marengo,678.5833332999998,8.866666667,1282,7633.333333,"(32.2459085, -87.77633329999999)"
2014,AL,Marengo,607.5,7.958333333,1276,7625.583333,"(32.2459085, -87.77633329999999)"
2015,AL,Marengo,566.5,7.641666667000001,1190,7405.583333,"(32.2459085, -87.77633329999999)"
2010,AL,Pickens,1011.5,13.18333333,451,7698.0,"(33.3339954, -88.0900762)"
2011,AL,Pickens,907.0,11.99166667,401,7569.916667,"(33.3339954, -88.0900762)"
2012,AL,Pickens,757.9166667000002,10.14166667,497,7466.666667,"(33.3339954, -88.0900762)"
2013,AL,Pickens,693.1666667000002,9.35,392,7419.833333,"(33.3339954, -88.0900762)"
2014,AL,Pickens,636.0,8.2,221,7762.333333,"(33.3339954, -88.0900762)"
2015,AL,Pickens,541.5833332999998,6.775,238,8006.75,"(33.3339954, -88.0900762)"
2010,AL,Russell,2589.166667,10.89166667,1078,23813.75,"(32.3552497, -85.1894045)"
2011,AL,Russell,2527.25,10.25833333,1120,24604.41667,"(32.3552497, -85.1894045)"
2012,AL,Russell,2185.833333,8.766666667,1068,24910.91667,"(32.3552497, -85.1894045)"
2013,AL,Russell,1809.916667,7.233333332999999,862,25018.33333,"(32.3552497, -85.1894045)"
2014,AL,Russell,1618.083333,6.533333333,992,24774.08333,"(32.3552497, -85.1894045)"
2015,AL,Russell,1429.583333,5.95,880,24103.58333,"(32.3552497, -85.1894045)"
2010,AL,Winston,1578.833333,16.0,576,9882.5,"(34.1690087, -87.3413599)"
2011,AL,Winston,1326.916667,13.49166667,550,9818.416667,"(34.1690087, -87.3413599)"
2012,AL,Winston,960.0,9.991666667,958,9607.0,"(34.1690087, -87.3413599)"
2013,AL,Winston,907.0833332999997,9.416666667000001,570,9644.5,"(34.1690087, -87.3413599)"
2014,AL,Winston,827.9166667000002,8.591666667,403,9633.583333,"(34.1690087, -87.3413599)"
