,Year,Average Total Employment,county,state
4677,2013,21311.33333,Henry County,IN
4678,2014,21448.66667,Henry County,IN
4679,2015,21664.16667,Henry County,IN
4680,2010,15947.16667,Miami County,IN
4681,2011,15937.41667,Miami County,IN
4682,2012,15633.83333,Miami County,IN
4683,2013,15605.91667,Miami County,IN
4684,2014,15660.5,Miami County,IN
4685,2015,15751,Miami County,IN
4686,2010,23011.41667,Noble County,IN
4687,2011,23132.33333,Noble County,IN
4688,2012,22618.58333,Noble County,IN
4689,2013,22616.91667,Noble County,IN
4690,2014,23118.75,Noble County,IN
4691,2015,23650.91667,Noble County,IN
4692,2010,7332.166667,Parke County,IN
4693,2011,7194.25,Parke County,IN
4694,2012,6989.833333,Parke County,IN
4695,2013,6931,Parke County,IN
4696,2014,6944.75,Parke County,IN
4697,2015,7052.583333,Parke County,IN
4698,2010,8931.166667,Perry County,IN
4699,2011,9061.5,Perry County,IN
4700,2012,8873.25,Perry County,IN
4701,2013,8931.583333,Perry County,IN
4702,2014,9170.5,Perry County,IN
4703,2015,9230.916667,Perry County,IN
4704,2010,13494,Posey County,IN
4705,2011,13421.58333,Posey County,IN
4706,2012,13190.25,Posey County,IN
4707,2013,12945.08333,Posey County,IN
4708,2014,13145.33333,Posey County,IN
4709,2015,13299.58333,Posey County,IN
4710,2010,10589.5,Scott County,IN
4711,2011,10378,Scott County,IN
4712,2012,10181.08333,Scott County,IN
4713,2013,10238.75,Scott County,IN
4714,2014,10181.08333,Scott County,IN
4715,2015,10286.16667,Scott County,IN
4716,2010,3729.25,Union County,IN
4717,2011,3667,Union County,IN
4718,2012,3556.833333,Union County,IN
4719,2013,3519.333333,Union County,IN
4720,2014,3541.25,Union County,IN
4721,2015,3561.25,Union County,IN
4722,2010,31330,Wayne County,IN
4723,2011,30991.75,Wayne County,IN
4724,2012,30690.5,Wayne County,IN
4725,2013,30535.16667,Wayne County,IN
4726,2014,30901.16667,Wayne County,IN
4727,2015,30648.08333,Wayne County,IN
4728,2010,14137.08333,Wells County,IN
4729,2011,14049.33333,Wells County,IN
4730,2012,13711.5,Wells County,IN
4731,2013,13650.66667,Wells County,IN
4732,2014,13749.16667,Wells County,IN
4733,2015,14037.16667,Wells County,IN
4734,2010,12974.91667,White County,IN
4735,2011,13108.08333,White County,IN
4736,2012,13028.08333,White County,IN
4737,2013,12930.66667,White County,IN
4738,2014,13444.33333,White County,IN
4739,2015,13609.83333,White County,IN
4740,2010,4662.083333,Benton County,IN
4741,2011,4643.75,Benton County,IN
4742,2012,4550.25,Benton County,IN
4743,2013,4462.083333,Benton County,IN
4744,2014,4470.166667,Benton County,IN
4745,2015,4578.166667,Benton County,IN
4746,2010,20595.25,DeKalb County,IN
4747,2011,20488,DeKalb County,IN
4748,2012,20569.75,DeKalb County,IN
4749,2013,20940.83333,DeKalb County,IN
4750,2014,21243.33333,DeKalb County,IN
4751,2015,21783.66667,DeKalb County,IN
4752,2010,21927.33333,Dubois County,IN
4753,2011,21938.08333,Dubois County,IN
4754,2012,21582.33333,Dubois County,IN
4755,2013,21629.83333,Dubois County,IN
4756,2014,22024.58333,Dubois County,IN
4757,2015,22674.16667,Dubois County,IN
4758,2010,10283.83333,Fulton County,IN
4759,2011,10200.16667,Fulton County,IN
4760,2012,10083.33333,Fulton County,IN
4761,2013,9883.583333,Fulton County,IN
4762,2014,9784.75,Fulton County,IN
4763,2015,9861.666667,Fulton County,IN
4764,2010,16896.41667,Gibson County,IN
4765,2011,17282.41667,Gibson County,IN
4766,2012,17395.41667,Gibson County,IN
4767,2013,18014.16667,Gibson County,IN
4768,2014,18417.75,Gibson County,IN
4769,2015,18860.08333,Gibson County,IN
4770,2010,14390.58333,Greene County,IN
4771,2011,14179.5,Greene County,IN
4772,2012,13811.41667,Greene County,IN
4773,2013,13758.5,Greene County,IN
4774,2014,13842.75,Greene County,IN
4775,2015,13754.16667,Greene County,IN
4776,2010,35805.83333,Howard County,IN
4777,2011,36051.16667,Howard County,IN
4778,2012,35916,Howard County,IN
4779,2013,36411.5,Howard County,IN
4780,2014,36906.58333,Howard County,IN
4781,2015,36987.41667,Howard County,IN
4782,2010,16140.33333,Jasper County,IN
4783,2011,16094.25,Jasper County,IN
4784,2012,15968.16667,Jasper County,IN
4785,2013,15937.58333,Jasper County,IN
4786,2014,16127.5,Jasper County,IN
4787,2015,16356.5,Jasper County,IN
4788,2010,452840,Marion County,IN
4789,2011,456013.5833,Marion County,IN
4790,2012,458381.5833,Marion County,IN
4791,2013,463351.8333,Marion County,IN
4792,2014,467242,Marion County,IN
4793,2015,472332.3333,Marion County,IN
4794,2010,5262.333333,Martin County,IN
4795,2011,5344.416667,Martin County,IN
4796,2012,5076.833333,Martin County,IN
4797,2013,4949.75,Martin County,IN
4798,2014,4951.25,Martin County,IN
4799,2015,5047.083333,Martin County,IN
4800,2010,67736.58333,Monroe County,IN
4801,2011,67561.58333,Monroe County,IN
4802,2012,66748.08333,Monroe County,IN
4803,2013,66654.58333,Monroe County,IN
4804,2014,67448.41667,Monroe County,IN
4805,2015,67370.5,Monroe County,IN
4806,2010,35026.08333,Morgan County,IN
4807,2011,34901.91667,Morgan County,IN
4808,2012,34688.25,Morgan County,IN
4809,2013,34826.5,Morgan County,IN
4810,2014,34969.58333,Morgan County,IN
4811,2015,35368.83333,Morgan County,IN
4812,2010,7075.083333,Newton County,IN
4813,2011,6989.583333,Newton County,IN
4814,2012,6921.666667,Newton County,IN
4815,2013,6908.416667,Newton County,IN
4816,2014,6942.583333,Newton County,IN
4817,2015,6960.166667,Newton County,IN
4818,2010,9110.166667,Orange County,IN
4819,2011,8865,Orange County,IN
4820,2012,8775.916667,Orange County,IN
4821,2013,8754.666667,Orange County,IN
4822,2014,8534.25,Orange County,IN
4823,2015,8725.333333,Orange County,IN
4824,2010,81599.83333,Porter County,IN
4825,2011,82282.75,Porter County,IN
4826,2012,82372.58333,Porter County,IN
4827,2013,83160.75,Porter County,IN
4828,2014,83964.75,Porter County,IN
4829,2015,84691.5,Porter County,IN
4830,2010,16674.58333,Putnam County,IN
4831,2011,16595.91667,Putnam County,IN
4832,2012,16337.33333,Putnam County,IN
4833,2013,16159.33333,Putnam County,IN
4834,2014,16258,Putnam County,IN
4835,2015,16401.5,Putnam County,IN
4836,2010,14527,Ripley County,IN
4837,2011,14938.16667,Ripley County,IN
4838,2012,13847.16667,Ripley County,IN
4839,2013,13634.08333,Ripley County,IN
4840,2014,13629.5,Ripley County,IN
4841,2015,13633.33333,Ripley County,IN
4842,2010,22714.41667,Shelby County,IN
4843,2011,22511.75,Shelby County,IN
4844,2012,22317.41667,Shelby County,IN
4845,2013,22345.08333,Shelby County,IN
4846,2014,22420.33333,Shelby County,IN
4847,2015,22625.41667,Shelby County,IN
4848,2010,10444.25,Starke County,IN
4849,2011,10331.33333,Starke County,IN
4850,2012,10107.58333,Starke County,IN
4851,2013,10212.75,Starke County,IN
4852,2014,10224.91667,Starke County,IN
4853,2015,10547.83333,Starke County,IN
4854,2010,8045.916667,Tipton County,IN
4855,2011,7955.25,Tipton County,IN
4856,2012,8008.75,Tipton County,IN
4857,2013,7958.083333,Tipton County,IN
4858,2014,8159.333333,Tipton County,IN
4859,2015,8381.166667,Tipton County,IN
4860,2010,15954.83333,Wabash County,IN
4861,2011,15706.25,Wabash County,IN
4862,2012,15693.25,Wabash County,IN
4863,2013,15453.41667,Wabash County,IN
4864,2014,15461.25,Wabash County,IN
4865,2015,15387,Wabash County,IN
4866,2010,4200.5,Warren County,IN
4867,2011,4271,Warren County,IN
4868,2012,4197.666667,Warren County,IN
4869,2013,4151.833333,Warren County,IN
4870,2014,4092.833333,Warren County,IN
4871,2015,4097.083333,Warren County,IN
4872,2010,10253.5,Carroll County,IN
4873,2011,10125.25,Carroll County,IN
4874,2012,9984.333333,Carroll County,IN
4875,2013,9905.75,Carroll County,IN
4876,2014,9874.75,Carroll County,IN
4877,2015,10021.83333,Carroll County,IN
4878,2010,16898.83333,Clinton County,IN
4879,2011,16748.75,Clinton County,IN
4880,2012,16568,Clinton County,IN
4881,2013,16420.16667,Clinton County,IN
4882,2014,16642.58333,Clinton County,IN
4883,2015,16918.25,Clinton County,IN
4884,2010,14747.33333,Daviess County,IN
4885,2011,14887.41667,Daviess County,IN
4886,2012,14789.58333,Daviess County,IN
4887,2013,14868.33333,Daviess County,IN
4888,2014,15164.91667,Daviess County,IN
4889,2015,15694.91667,Daviess County,IN
4890,2010,12918.91667,Decatur County,IN
4891,2011,13013.83333,Decatur County,IN
4892,2012,13582.66667,Decatur County,IN
4893,2013,13861.75,Decatur County,IN
4894,2014,14172.08333,Decatur County,IN
4895,2015,14292.41667,Decatur County,IN
4896,2010,94498.16667,Elkhart County,IN
4897,2011,95376.41667,Elkhart County,IN
4898,2012,96848.75,Elkhart County,IN
4899,2013,98969.58333,Elkhart County,IN
4900,2014,102096.9167,Elkhart County,IN
4901,2015,104716,Elkhart County,IN
4902,2010,9769.916667,Fayette County,IN
4903,2011,9512.666667,Fayette County,IN
4904,2012,9164.916667,Fayette County,IN
4905,2013,9022.75,Fayette County,IN
4906,2014,9082.583333,Fayette County,IN
4907,2015,8989.416667,Fayette County,IN
4908,2010,35810,Hancock County,IN
4909,2011,35796.83333,Hancock County,IN
4910,2012,35729.41667,Hancock County,IN
4911,2013,36065,Hancock County,IN
4912,2014,36584.5,Hancock County,IN
4913,2015,37370.58333,Hancock County,IN
4914,2010,20476.5,Jackson County,IN
4915,2011,20549.16667,Jackson County,IN
4916,2012,20486,Jackson County,IN
4917,2013,20848.33333,Jackson County,IN
4918,2014,21303.83333,Jackson County,IN
4919,2015,21785.41667,Jackson County,IN
4920,2010,71598.83333,Johnson County,IN
4921,2011,72052.41667,Johnson County,IN
4922,2012,72543.33333,Johnson County,IN
4923,2013,73663.58333,Johnson County,IN
4924,2014,75465.75,Johnson County,IN
4925,2015,77587,Johnson County,IN
4926,2010,51336.66667,LaPorte County,IN
4927,2011,50456.33333,LaPorte County,IN
4928,2012,49697.66667,LaPorte County,IN
4929,2013,48938.16667,LaPorte County,IN
4930,2014,48844.5,LaPorte County,IN
4931,2015,48521.58333,LaPorte County,IN
4932,2010,59406.91667,Madison County,IN
4933,2011,58819.16667,Madison County,IN
4934,2012,57994.83333,Madison County,IN
4935,2013,58068.16667,Madison County,IN
4936,2014,57896.83333,Madison County,IN
4937,2015,58221.58333,Madison County,IN
4938,2010,6370.416667,Pulaski County,IN
4939,2011,6400.5,Pulaski County,IN
4940,2012,6271.25,Pulaski County,IN
4941,2013,6117,Pulaski County,IN
4942,2014,6191,Pulaski County,IN
4943,2015,6274.083333,Pulaski County,IN
4944,2010,10995.83333,Spencer County,IN
4945,2011,11031.33333,Spencer County,IN
4946,2012,10791,Spencer County,IN
4947,2013,10689.58333,Spencer County,IN
4948,2014,10739.16667,Spencer County,IN
4949,2015,10974.25,Spencer County,IN
4950,2010,18438.33333,Steuben County,IN
4951,2011,18565.33333,Steuben County,IN
4952,2012,18914.41667,Steuben County,IN
4953,2013,19318.83333,Steuben County,IN
4954,2014,19795.08333,Steuben County,IN
4955,2015,19980.33333,Steuben County,IN
4956,2010,30817.83333,Warrick County,IN
4957,2011,31118.75,Warrick County,IN
4958,2012,30813.58333,Warrick County,IN
4959,2013,30710.33333,Warrick County,IN
4960,2014,31166.58333,Warrick County,IN
4961,2015,31753.25,Warrick County,IN
4962,2010,17603.25,Whitley County,IN
4963,2011,17324.75,Whitley County,IN
4964,2012,16902.41667,Whitley County,IN
4965,2013,16760.08333,Whitley County,IN
4966,2014,16830.83333,Whitley County,IN
4967,2015,17018.91667,Whitley County,IN
4968,2010,4919.25,Crawford County,IN
4969,2011,4866,Crawford County,IN
4970,2012,4790.5,Crawford County,IN
4971,2013,4840.333333,Crawford County,IN
4972,2014,4889.25,Crawford County,IN
4973,2015,4918.666667,Crawford County,IN
4974,2010,25523.66667,Dearborn County,IN
4975,2011,25339.25,Dearborn County,IN
4976,2012,24979.33333,Dearborn County,IN
4977,2013,25174.41667,Dearborn County,IN
4978,2014,25096.75,Dearborn County,IN
4979,2015,25213.83333,Dearborn County,IN
4980,2010,54724.5,Delaware County,IN
4981,2011,54649.91667,Delaware County,IN
4982,2012,54898.66667,Delaware County,IN
4983,2013,54167.08333,Delaware County,IN
4984,2014,53552.08333,Delaware County,IN
4985,2015,54441.66667,Delaware County,IN
4986,2010,8608.083333,Fountain County,IN
4987,2011,8630.083333,Fountain County,IN
4988,2012,8538.25,Fountain County,IN
4989,2013,8320.583333,Fountain County,IN
4990,2014,8191.416667,Fountain County,IN
4991,2015,8048.916667,Fountain County,IN
4992,2010,11395.41667,Franklin County,IN
4993,2011,11220.41667,Franklin County,IN
4994,2012,10557.33333,Franklin County,IN
4995,2013,10769,Franklin County,IN
4996,2014,10874.25,Franklin County,IN
4997,2015,11387.33333,Franklin County,IN
4998,2010,144862.9167,Hamilton County,IN
4999,2011,148120.3333,Hamilton County,IN
5000,2012,151114.0833,Hamilton County,IN
5001,2013,155748.4167,Hamilton County,IN
5002,2014,160996.25,Hamilton County,IN
5003,2015,167234.75,Hamilton County,IN
5004,2010,18989.33333,Harrison County,IN
5005,2011,18773.75,Harrison County,IN
5006,2012,18556.91667,Harrison County,IN
5007,2013,18703.83333,Harrison County,IN
5008,2014,19027.91667,Harrison County,IN
5009,2015,19417.25,Harrison County,IN
5010,2010,13303.75,Jennings County,IN
5011,2011,13341.08333,Jennings County,IN
5012,2012,13110.91667,Jennings County,IN
5013,2013,13032.5,Jennings County,IN
5014,2014,13078.91667,Jennings County,IN
5015,2015,13167.08333,Jennings County,IN
5016,2010,16569.75,LaGrange County,IN
5017,2011,16665.91667,LaGrange County,IN
5018,2012,17000.75,LaGrange County,IN
5019,2013,17610.16667,LaGrange County,IN
5020,2014,18208.66667,LaGrange County,IN
5021,2015,18900.66667,LaGrange County,IN
5022,2010,20728.25,Lawrence County,IN
5023,2011,20790.66667,Lawrence County,IN
5024,2012,20554.75,Lawrence County,IN
5025,2013,20657.08333,Lawrence County,IN
5026,2014,20365.83333,Lawrence County,IN
5027,2015,20278.08333,Lawrence County,IN
5028,2010,23475.83333,Marshall County,IN
5029,2011,23452.25,Marshall County,IN
5030,2012,22962.75,Marshall County,IN
5031,2013,23095.66667,Marshall County,IN
5032,2014,23704.5,Marshall County,IN
5033,2015,24008.58333,Marshall County,IN
5034,2010,13019.08333,Randolph County,IN
5035,2011,13023.33333,Randolph County,IN
5036,2012,12761,Randolph County,IN
5037,2013,12576.16667,Randolph County,IN
5038,2014,12479.91667,Randolph County,IN
5039,2015,12686.33333,Randolph County,IN
5040,2010,9084.75,Sullivan County,IN
5041,2011,8890.666667,Sullivan County,IN
5042,2012,8802.666667,Sullivan County,IN
5043,2013,8705.166667,Sullivan County,IN
5044,2014,8643.416667,Sullivan County,IN
5045,2015,8657.75,Sullivan County,IN
5046,2010,5847,Blackford County,IN
5047,2011,5623.833333,Blackford County,IN
5048,2012,5460.666667,Blackford County,IN
5049,2013,5440.333333,Blackford County,IN
5050,2014,5260,Blackford County,IN
5051,2015,5242.333333,Blackford County,IN
5052,2010,74718.91667,Hendricks County,IN
5053,2011,76016.75,Hendricks County,IN
5054,2012,76894,Hendricks County,IN
5055,2013,78649.08333,Hendricks County,IN
5056,2014,80632.66667,Hendricks County,IN
5057,2015,82860.75,Hendricks County,IN
5058,2010,15464.16667,Jefferson County,IN
5059,2011,15170.33333,Jefferson County,IN
5060,2012,15220.16667,Jefferson County,IN
5061,2013,15306.75,Jefferson County,IN
5062,2014,15050.08333,Jefferson County,IN
5063,2015,15325.91667,Jefferson County,IN
5064,2010,39226.5,Kosciusko County,IN
5065,2011,38972.08333,Kosciusko County,IN
5066,2012,38739.58333,Kosciusko County,IN
5067,2013,39728.66667,Kosciusko County,IN
5068,2014,40292.75,Kosciusko County,IN
5069,2015,40662.41667,Kosciusko County,IN
5070,2010,19038.5,Huntington County,IN
5071,2011,19150,Huntington County,IN
5072,2012,18587.16667,Huntington County,IN
5073,2013,18520,Huntington County,IN
5074,2014,18538.33333,Huntington County,IN
5075,2015,18640.83333,Huntington County,IN
5076,2010,18896.41667,Montgomery County,IN
5077,2011,18713.16667,Montgomery County,IN
5078,2012,18594.58333,Montgomery County,IN
5079,2013,18399.25,Montgomery County,IN
5080,2014,18680.5,Montgomery County,IN
5081,2015,19266,Montgomery County,IN
5082,2010,130463.25,St. Joseph County,IN
5083,2011,130605.4167,St. Joseph County,IN
5084,2012,127770.75,St. Joseph County,IN
5085,2013,127096.9167,St. Joseph County,IN
5086,2014,128667.5833,St. Joseph County,IN
5087,2015,130405.9167,St. Joseph County,IN
5088,2010,86531.08333,Tippecanoe County,IN
5089,2011,87456,Tippecanoe County,IN
5090,2012,88448.41667,Tippecanoe County,IN
5091,2013,89630.66667,Tippecanoe County,IN
5092,2014,91257,Tippecanoe County,IN
5093,2015,93117.16667,Tippecanoe County,IN
5094,2010,7809.25,Vermillion County,IN
5095,2011,7647.25,Vermillion County,IN
5096,2012,7468.416667,Vermillion County,IN
5097,2013,7324.416667,Vermillion County,IN
5098,2014,7221.833333,Vermillion County,IN
5099,2015,7226.25,Vermillion County,IN
5100,2010,13806,Washington County,IN
5101,2011,13514.25,Washington County,IN
5102,2012,13174.25,Washington County,IN
5103,2013,13141.66667,Washington County,IN
5104,2014,13310.33333,Washington County,IN
5105,2015,13526.58333,Washington County,IN
