,Year,Average (Monthly) Number Unemployed,county,state
2559,2013,1510.916667,Sumter County,GA
2560,2014,1268.583333,Sumter County,GA
2561,2015,1066.25,Sumter County,GA
2562,2010,289.75,Talbot County,GA
2563,2011,307.3333333,Talbot County,GA
2564,2012,293.5,Talbot County,GA
2565,2013,264.6666667,Talbot County,GA
2566,2014,219.0833333,Talbot County,GA
2567,2015,208.25,Talbot County,GA
2568,2010,471.0833333,Taylor County,GA
2569,2011,458.8333333,Taylor County,GA
2570,2012,416.75,Taylor County,GA
2571,2013,370.3333333,Taylor County,GA
2572,2014,289.5,Taylor County,GA
2573,2015,254.4166667,Taylor County,GA
2574,2010,2009.583333,Thomas County,GA
2575,2011,1901.416667,Thomas County,GA
2576,2012,1790.583333,Thomas County,GA
2577,2013,1605,Thomas County,GA
2578,2014,1493.5,Thomas County,GA
2579,2015,1214.916667,Thomas County,GA
2580,2010,1511.083333,Toombs County,GA
2581,2011,1666.75,Toombs County,GA
2582,2012,1471.583333,Toombs County,GA
2583,2013,1406.833333,Toombs County,GA
2584,2014,1202.083333,Toombs County,GA
2585,2015,1035.166667,Toombs County,GA
2586,2010,585.9166667,Turner County,GA
2587,2011,513.5,Turner County,GA
2588,2012,404.5833333,Turner County,GA
2589,2013,332.75,Turner County,GA
2590,2014,257.75,Turner County,GA
2591,2015,216.0833333,Turner County,GA
2592,2010,504.5833333,Twiggs County,GA
2593,2011,503.5,Twiggs County,GA
2594,2012,471.6666667,Twiggs County,GA
2595,2013,429,Twiggs County,GA
2596,2014,331.5,Twiggs County,GA
2597,2015,270,Twiggs County,GA
2598,2010,3191.583333,Walker County,GA
2599,2011,3038.5,Walker County,GA
2600,2012,2778.25,Walker County,GA
2601,2013,2433.416667,Walker County,GA
2602,2014,2110.833333,Walker County,GA
2603,2015,1754.416667,Walker County,GA
2604,2010,4370.166667,Walton County,GA
2605,2011,4290.833333,Walton County,GA
2606,2012,3740.75,Walton County,GA
2607,2013,3192.416667,Walton County,GA
2608,2014,2656.25,Walton County,GA
2609,2015,2253.333333,Walton County,GA
2610,2010,456.6666667,Warren County,GA
2611,2011,439.0833333,Warren County,GA
2612,2012,396.9166667,Warren County,GA
2613,2013,327.6666667,Warren County,GA
2614,2014,261.6666667,Warren County,GA
2615,2015,205.6666667,Warren County,GA
2616,2010,364.75,Wilcox County,GA
2617,2011,375.1666667,Wilcox County,GA
2618,2012,333.9166667,Wilcox County,GA
2619,2013,312.6666667,Wilcox County,GA
2620,2014,258.5,Wilcox County,GA
2621,2015,215.25,Wilcox County,GA
2622,2010,531.4166667,Wilkes County,GA
2623,2011,547,Wilkes County,GA
2624,2012,469,Wilkes County,GA
2625,2013,417.5833333,Wilkes County,GA
2626,2014,345.5833333,Wilkes County,GA
2627,2015,281.1666667,Wilkes County,GA
2628,2010,1036.333333,Appling County,GA
2629,2011,1096.833333,Appling County,GA
2630,2012,1007,Appling County,GA
2631,2013,932.0833333,Appling County,GA
2632,2014,761.6666667,Appling County,GA
2633,2015,632.9166667,Appling County,GA
2634,2010,2948.75,Baldwin County,GA
2635,2011,2562.833333,Baldwin County,GA
2636,2012,2191.75,Baldwin County,GA
2637,2013,1878.333333,Baldwin County,GA
2638,2014,1603.75,Baldwin County,GA
2639,2015,1358.583333,Baldwin County,GA
2640,2010,1038.833333,Berrien County,GA
2641,2011,982,Berrien County,GA
2642,2012,804.9166667,Berrien County,GA
2643,2013,707.1666667,Berrien County,GA
2644,2014,615.0833333,Berrien County,GA
2645,2015,504.8333333,Berrien County,GA
2646,2010,3330.333333,Bulloch County,GA
2647,2011,3521.083333,Bulloch County,GA
2648,2012,3323.5,Bulloch County,GA
2649,2013,2967.583333,Bulloch County,GA
2650,2014,2519.666667,Bulloch County,GA
2651,2015,2103.916667,Bulloch County,GA
2652,2010,229.5833333,Calhoun County,GA
2653,2011,211.6666667,Calhoun County,GA
2654,2012,184.8333333,Calhoun County,GA
2655,2013,171.4166667,Calhoun County,GA
2656,2014,148,Calhoun County,GA
2657,2015,132.25,Calhoun County,GA
2658,2010,435.3333333,Candler County,GA
2659,2011,483.6666667,Candler County,GA
2660,2012,449.5,Candler County,GA
2661,2013,416.5,Candler County,GA
2662,2014,349.0833333,Candler County,GA
2663,2015,282.25,Candler County,GA
2664,2010,6055.333333,Carroll County,GA
2665,2011,5896.083333,Carroll County,GA
2666,2012,5337.166667,Carroll County,GA
2667,2013,4988.083333,Carroll County,GA
2668,2014,4235,Carroll County,GA
2669,2015,3477.75,Carroll County,GA
2670,2010,2686.25,Catoosa County,GA
2671,2011,2628.75,Catoosa County,GA
2672,2012,2410.083333,Catoosa County,GA
2673,2013,2129.916667,Catoosa County,GA
2674,2014,1897.916667,Catoosa County,GA
2675,2015,1637.833333,Catoosa County,GA
2676,2010,12545.5,Chatham County,GA
2677,2011,12989,Chatham County,GA
2678,2012,12185.16667,Chatham County,GA
2679,2013,10860.75,Chatham County,GA
2680,2014,9587,Chatham County,GA
2681,2015,7783.916667,Chatham County,GA
2682,2010,16913.16667,Clayton County,GA
2683,2011,17034.5,Clayton County,GA
2684,2012,15356.75,Clayton County,GA
2685,2013,13471,Clayton County,GA
2686,2014,11544.33333,Clayton County,GA
2687,2015,9626.5,Clayton County,GA
2688,2010,1548.666667,Decatur County,GA
2689,2011,1447.416667,Decatur County,GA
2690,2012,1240.333333,Decatur County,GA
2691,2013,1098.833333,Decatur County,GA
2692,2014,922.5,Decatur County,GA
2693,2015,773.6666667,Decatur County,GA
2694,2010,7466.916667,Douglas County,GA
2695,2011,7281.583333,Douglas County,GA
2696,2012,6437.083333,Douglas County,GA
2697,2013,5784.166667,Douglas County,GA
2698,2014,4984.833333,Douglas County,GA
2699,2015,4326,Douglas County,GA
2700,2010,1171.5,Emanuel County,GA
2701,2011,1217.75,Emanuel County,GA
2702,2012,1122.75,Emanuel County,GA
2703,2013,1107.333333,Emanuel County,GA
2704,2014,892.9166667,Emanuel County,GA
2705,2015,727.3333333,Emanuel County,GA
2706,2010,4363.083333,Fayette County,GA
2707,2011,4263.916667,Fayette County,GA
2708,2012,4039.5,Fayette County,GA
2709,2013,3579,Fayette County,GA
2710,2014,3259.916667,Fayette County,GA
2711,2015,2805.833333,Fayette County,GA
2712,2010,7091.833333,Forsyth County,GA
2713,2011,6747.333333,Forsyth County,GA
2714,2012,6208.333333,Forsyth County,GA
2715,2013,5670,Forsyth County,GA
2716,2014,5245.333333,Forsyth County,GA
2717,2015,4731.75,Forsyth County,GA
2718,2010,711.4166667,Hancock County,GA
2719,2011,586.1666667,Hancock County,GA
2720,2012,468.1666667,Hancock County,GA
2721,2013,387.8333333,Hancock County,GA
2722,2014,293.4166667,Hancock County,GA
2723,2015,243.75,Hancock County,GA
2724,2010,5677.416667,Houston County,GA
2725,2011,5840,Houston County,GA
2726,2012,5529.583333,Houston County,GA
2727,2013,5073.25,Houston County,GA
2728,2014,4466.25,Houston County,GA
2729,2015,3825.083333,Houston County,GA
2730,2010,2995.583333,Jackson County,GA
2731,2011,2771.416667,Jackson County,GA
2732,2012,2417.083333,Jackson County,GA
2733,2013,2041.75,Jackson County,GA
2734,2014,1737.166667,Jackson County,GA
2735,2015,1486.666667,Jackson County,GA
2736,2010,490.75,Jenkins County,GA
2737,2011,460.0833333,Jenkins County,GA
2738,2012,462.0833333,Jenkins County,GA
2739,2013,409.8333333,Jenkins County,GA
2740,2014,324,Jenkins County,GA
2741,2015,258.1666667,Jenkins County,GA
2742,2010,458.75,Johnson County,GA
2743,2011,461.5,Johnson County,GA
2744,2012,405.25,Johnson County,GA
2745,2013,392.6666667,Johnson County,GA
2746,2014,336.9166667,Johnson County,GA
2747,2015,270.75,Johnson County,GA
2748,2010,2720.333333,Laurens County,GA
2749,2011,2809.333333,Laurens County,GA
2750,2012,2427.333333,Laurens County,GA
2751,2013,2091.25,Laurens County,GA
2752,2014,1747,Laurens County,GA
2753,2015,1406.916667,Laurens County,GA
2754,2010,2434.333333,Liberty County,GA
2755,2011,2572.666667,Liberty County,GA
2756,2012,2419.916667,Liberty County,GA
2757,2013,2223.166667,Liberty County,GA
2758,2014,1948.5,Liberty County,GA
2759,2015,1576.833333,Liberty County,GA
2760,2010,422.9166667,Lincoln County,GA
2761,2011,419.9166667,Lincoln County,GA
2762,2012,382.3333333,Lincoln County,GA
2763,2013,345.6666667,Lincoln County,GA
2764,2014,275.9166667,Lincoln County,GA
2765,2015,226.9166667,Lincoln County,GA
2766,2010,4898.916667,Lowndes County,GA
2767,2011,5082.416667,Lowndes County,GA
2768,2012,4783.166667,Lowndes County,GA
2769,2013,4100.333333,Lowndes County,GA
2770,2014,3654.5,Lowndes County,GA
2771,2015,2973.666667,Lowndes County,GA
2772,2010,1526.583333,Lumpkin County,GA
2773,2011,1454.666667,Lumpkin County,GA
2774,2012,1267.666667,Lumpkin County,GA
2775,2013,1116.083333,Lumpkin County,GA
2776,2014,966.4166667,Lumpkin County,GA
2777,2015,827,Lumpkin County,GA
2778,2010,1389.583333,Madison County,GA
2779,2011,1336.833333,Madison County,GA
2780,2012,1172.25,Madison County,GA
2781,2013,978.1666667,Madison County,GA
2782,2014,844.75,Madison County,GA
2783,2015,700.1666667,Madison County,GA
2784,2010,1540,Pickens County,GA
2785,2011,1481.333333,Pickens County,GA
2786,2012,1261.666667,Pickens County,GA
2787,2013,1099.416667,Pickens County,GA
2788,2014,916.3333333,Pickens County,GA
2789,2015,738.0833333,Pickens County,GA
2790,2010,418.3333333,Pulaski County,GA
2791,2011,431.3333333,Pulaski County,GA
2792,2012,392.9166667,Pulaski County,GA
2793,2013,371.25,Pulaski County,GA
2794,2014,315.5833333,Pulaski County,GA
2795,2015,263.8333333,Pulaski County,GA
2796,2010,101.0833333,Quitman County,GA
2797,2011,99.58333333,Quitman County,GA
2798,2012,90,Quitman County,GA
2799,2013,73.83333333,Quitman County,GA
2800,2014,74.08333333,Quitman County,GA
2801,2015,55.91666667,Quitman County,GA
2802,2010,986.25,Screven County,GA
2803,2011,911.1666667,Screven County,GA
2804,2012,786.3333333,Screven County,GA
2805,2013,700.1666667,Screven County,GA
2806,2014,533.9166667,Screven County,GA
2807,2015,418.75,Screven County,GA
2808,2010,248.1666667,Stewart County,GA
2809,2011,228.5833333,Stewart County,GA
2810,2012,214.5,Stewart County,GA
2811,2013,200,Stewart County,GA
2812,2014,163.6666667,Stewart County,GA
2813,2015,146,Stewart County,GA
2814,2010,771.6666667,Telfair County,GA
2815,2011,699.1666667,Telfair County,GA
2816,2012,629.25,Telfair County,GA
2817,2013,604.4166667,Telfair County,GA
2818,2014,510.4166667,Telfair County,GA
2819,2015,419.6666667,Telfair County,GA
2820,2010,478.1666667,Terrell County,GA
2821,2011,461.6666667,Terrell County,GA
2822,2012,409.5,Terrell County,GA
2823,2013,357.9166667,Terrell County,GA
2824,2014,288.5833333,Terrell County,GA
2825,2015,270.5833333,Terrell County,GA
2826,2010,134.3333333,Webster County,GA
2827,2011,122.4166667,Webster County,GA
2828,2012,105.0833333,Webster County,GA
2829,2013,95.66666667,Webster County,GA
2830,2014,87.83333333,Webster County,GA
2831,2015,90.66666667,Webster County,GA
2832,2010,293.0833333,Wheeler County,GA
2833,2011,291.4166667,Wheeler County,GA
2834,2012,260.8333333,Wheeler County,GA
2835,2013,238.4166667,Wheeler County,GA
2836,2014,229.4166667,Wheeler County,GA
2837,2015,183.9166667,Wheeler County,GA
2838,2010,525.5833333,Atkinson County,GA
2839,2011,448.1666667,Atkinson County,GA
2840,2012,398.0833333,Atkinson County,GA
2841,2013,325.6666667,Atkinson County,GA
2842,2014,272.75,Atkinson County,GA
2843,2015,221.5833333,Atkinson County,GA
2844,2010,1034.5,Ben Hill County,GA
2845,2011,975.0833333,Ben Hill County,GA
2846,2012,862.25,Ben Hill County,GA
2847,2013,720.3333333,Ben Hill County,GA
2848,2014,556.75,Ben Hill County,GA
2849,2015,493.1666667,Ben Hill County,GA
2850,2010,682.3333333,Bleckley County,GA
2851,2011,732.9166667,Bleckley County,GA
2852,2012,664.5833333,Bleckley County,GA
2853,2013,670,Bleckley County,GA
2854,2014,518.0833333,Bleckley County,GA
2855,2015,372.9166667,Bleckley County,GA
2856,2010,952.0833333,Brantley County,GA
2857,2011,983.1666667,Brantley County,GA
2858,2012,894,Brantley County,GA
2859,2013,748.75,Brantley County,GA
2860,2014,633.75,Brantley County,GA
2861,2015,514.1666667,Brantley County,GA
2862,2010,509.4166667,Charlton County,GA
2863,2011,528.0833333,Charlton County,GA
2864,2012,464.6666667,Charlton County,GA
2865,2013,415.4166667,Charlton County,GA
2866,2014,352.6666667,Charlton County,GA
2867,2015,304.5,Charlton County,GA
2868,2010,9890.666667,Cherokee County,GA
2869,2011,9301.333333,Cherokee County,GA
2870,2012,8150.916667,Cherokee County,GA
2871,2013,7106.75,Cherokee County,GA
2872,2014,6441.166667,Cherokee County,GA
2873,2015,5624.083333,Cherokee County,GA
2874,2010,2068.5,Colquitt County,GA
2875,2011,2019.416667,Colquitt County,GA
2876,2012,1847.416667,Colquitt County,GA
2877,2013,1782.916667,Colquitt County,GA
2878,2014,1617.25,Colquitt County,GA
2879,2015,1280.083333,Colquitt County,GA
2880,2010,4495.416667,Columbia County,GA
2881,2011,4653.083333,Columbia County,GA
2882,2012,4519.916667,Columbia County,GA
2883,2013,4248.25,Columbia County,GA
2884,2014,3841.083333,Columbia County,GA
2885,2015,3441.166667,Columbia County,GA
2886,2010,660.3333333,Crawford County,GA
2887,2011,625.6666667,Crawford County,GA
2888,2012,571.8333333,Crawford County,GA
2889,2013,503.4166667,Crawford County,GA
2890,2014,417.6666667,Crawford County,GA
2891,2015,350.5,Crawford County,GA
2892,2010,1229.916667,Franklin County,GA
2893,2011,1185.166667,Franklin County,GA
2894,2012,1076.916667,Franklin County,GA
2895,2013,911.0833333,Franklin County,GA
2896,2014,747.3333333,Franklin County,GA
2897,2015,582.5,Franklin County,GA
2898,2010,146.3333333,Glascock County,GA
2899,2011,142.4166667,Glascock County,GA
2900,2012,128.0833333,Glascock County,GA
2901,2013,122.25,Glascock County,GA
2902,2014,101.5,Glascock County,GA
2903,2015,81.66666667,Glascock County,GA
2904,2010,38574.08333,Gwinnett County,GA
2905,2011,37208.75,Gwinnett County,GA
2906,2012,33687.41667,Gwinnett County,GA
2907,2013,30110.41667,Gwinnett County,GA
2908,2014,26765.91667,Gwinnett County,GA
2909,2015,23425.16667,Gwinnett County,GA
2910,2010,1518.5,Haralson County,GA
2911,2011,1421.5,Haralson County,GA
2912,2012,1238.333333,Haralson County,GA
2913,2013,1108.833333,Haralson County,GA
2914,2014,936.9166667,Haralson County,GA
2915,2015,775.5833333,Haralson County,GA
2916,2010,1243.416667,McDuffie County,GA
2917,2011,1254.833333,McDuffie County,GA
2918,2012,1178.083333,McDuffie County,GA
2919,2013,1025.583333,McDuffie County,GA
2920,2014,874.3333333,McDuffie County,GA
2921,2015,730.5,McDuffie County,GA
2922,2010,663.5833333,McIntosh County,GA
2923,2011,657.9166667,McIntosh County,GA
2924,2012,588.5,McIntosh County,GA
2925,2013,531.9166667,McIntosh County,GA
2926,2014,460.5,McIntosh County,GA
2927,2015,377.6666667,McIntosh County,GA
2928,2010,1043.5,Mitchell County,GA
2929,2011,954.6666667,Mitchell County,GA
2930,2012,853.5,Mitchell County,GA
2931,2013,773.5833333,Mitchell County,GA
2932,2014,684.5833333,Mitchell County,GA
2933,2015,586.0833333,Mitchell County,GA
2934,2010,8233.916667,Muscogee County,GA
2935,2011,8303.666667,Muscogee County,GA
2936,2012,8185.25,Muscogee County,GA
2937,2013,7754.416667,Muscogee County,GA
2938,2014,6776.333333,Muscogee County,GA
2939,2015,5883.5,Muscogee County,GA
2940,2010,7383.166667,Paulding County,GA
2941,2011,7096.833333,Paulding County,GA
2942,2012,6190.5,Paulding County,GA
2943,2013,5364.416667,Paulding County,GA
2944,2014,4579.916667,Paulding County,GA
2945,2015,3968.5,Paulding County,GA
2946,2010,363,Randolph County,GA
2947,2011,375.8333333,Randolph County,GA
2948,2012,354.5,Randolph County,GA
2949,2013,288.0833333,Randolph County,GA
2950,2014,262.1666667,Randolph County,GA
2951,2015,220.5833333,Randolph County,GA
2952,2010,9677.5,Richmond County,GA
2953,2011,9951,Richmond County,GA
2954,2012,9399.5,Richmond County,GA
2955,2013,8522.666667,Richmond County,GA
2956,2014,7321.5,Richmond County,GA
2957,2015,6231.416667,Richmond County,GA
2958,2010,4749.5,Rockdale County,GA
2959,2011,4741.75,Rockdale County,GA
2960,2012,4294.416667,Rockdale County,GA
2961,2013,3857.333333,Rockdale County,GA
2962,2014,3287,Rockdale County,GA
2963,2015,2755.5,Rockdale County,GA
2964,2010,423.9166667,Seminole County,GA
2965,2011,412.1666667,Seminole County,GA
2966,2012,355,Seminole County,GA
2967,2013,320.9166667,Seminole County,GA
2968,2014,293.5,Seminole County,GA
2969,2015,249.8333333,Seminole County,GA
2970,2010,4259.833333,Spalding County,GA
2971,2011,4004.333333,Spalding County,GA
2972,2012,3537.75,Spalding County,GA
2973,2013,3190.25,Spalding County,GA
2974,2014,2567.25,Spalding County,GA
2975,2015,2179.75,Spalding County,GA
2976,2010,1462.583333,Stephens County,GA
2977,2011,1403.083333,Stephens County,GA
2978,2012,1234.583333,Stephens County,GA
2979,2013,1053.25,Stephens County,GA
2980,2014,854.5,Stephens County,GA
2981,2015,709.4166667,Stephens County,GA
2982,2010,875.9166667,Tattnall County,GA
2983,2011,869.4166667,Tattnall County,GA
2984,2012,817.0833333,Tattnall County,GA
2985,2013,760.3333333,Tattnall County,GA
2986,2014,658.9166667,Tattnall County,GA
2987,2015,571.75,Tattnall County,GA
2988,2010,356.0833333,Treutlen County,GA
2989,2011,396.5833333,Treutlen County,GA
2990,2012,391.1666667,Treutlen County,GA
2991,2013,347.6666667,Treutlen County,GA
2992,2014,294.8333333,Treutlen County,GA
2993,2015,228.9166667,Treutlen County,GA
2994,2010,1245.75,Chattooga County,GA
2995,2011,1166.583333,Chattooga County,GA
2996,2012,1090.083333,Chattooga County,GA
2997,2013,948.3333333,Chattooga County,GA
2998,2014,796.9166667,Chattooga County,GA
2999,2015,650.5,Chattooga County,GA
3000,2010,5209.333333,Dougherty County,GA
3001,2011,5020.75,Dougherty County,GA
3002,2012,4616.666667,Dougherty County,GA
3003,2013,4104,Dougherty County,GA
3004,2014,3551.083333,Dougherty County,GA
3005,2015,2921.416667,Dougherty County,GA
3006,2010,2467,Effingham County,GA
3007,2011,2387.583333,Effingham County,GA
3008,2012,2171.583333,Effingham County,GA
3009,2013,1873.666667,Effingham County,GA
3010,2014,1625.583333,Effingham County,GA
3011,2015,1388.75,Effingham County,GA
3012,2010,1956.583333,Habersham County,GA
3013,2011,1926,Habersham County,GA
3014,2012,1754.166667,Habersham County,GA
3015,2013,1548.083333,Habersham County,GA
3016,2014,1313.833333,Habersham County,GA
3017,2015,1075.25,Habersham County,GA
3018,2010,1006.583333,Jefferson County,GA
3019,2011,944.0833333,Jefferson County,GA
3020,2012,936.6666667,Jefferson County,GA
3021,2013,956.3333333,Jefferson County,GA
3022,2014,745,Jefferson County,GA
3023,2015,574.5833333,Jefferson County,GA
3024,2010,5660.666667,Whitfield County,GA
3025,2011,5615.833333,Whitfield County,GA
3026,2012,4867.583333,Whitfield County,GA
3027,2013,4266.75,Whitfield County,GA
3028,2014,3491.25,Whitfield County,GA
3029,2015,2910.666667,Whitfield County,GA
3030,2010,538.6666667,Wilkinson County,GA
3031,2011,486.9166667,Wilkinson County,GA
3032,2012,430.4166667,Wilkinson County,GA
3033,2013,383.75,Wilkinson County,GA
3034,2014,321.25,Wilkinson County,GA
3035,2015,263.25,Wilkinson County,GA
3036,2010,814.75,Jeff Davis County,GA
3037,2011,820.25,Jeff Davis County,GA
3038,2012,736.75,Jeff Davis County,GA
3039,2013,633.9166667,Jeff Davis County,GA
3040,2014,520,Jeff Davis County,GA
3041,2015,422.1666667,Jeff Davis County,GA
3042,2010,1282.416667,Meriwether County,GA
3043,2011,1234.75,Meriwether County,GA
3044,2012,1085.333333,Meriwether County,GA
3045,2013,948,Meriwether County,GA
3046,2014,849.4166667,Meriwether County,GA
3047,2015,694.5833333,Meriwether County,GA
3048,2010,464.6666667,Montgomery County,GA
3049,2011,515.5,Montgomery County,GA
3050,2012,453.4166667,Montgomery County,GA
3051,2013,462.0833333,Montgomery County,GA
3052,2014,395.8333333,Montgomery County,GA
3053,2015,321.5,Montgomery County,GA
3054,2010,683.4166667,Oglethorpe County,GA
3055,2011,680,Oglethorpe County,GA
3056,2012,588.25,Oglethorpe County,GA
3057,2013,509.5833333,Oglethorpe County,GA
3058,2014,439,Oglethorpe County,GA
3059,2015,372.8333333,Oglethorpe County,GA
3060,2010,113.9166667,Taliaferro County,GA
3061,2011,97.16666667,Taliaferro County,GA
3062,2012,86.16666667,Taliaferro County,GA
3063,2013,70.16666667,Taliaferro County,GA
3064,2014,64.25,Taliaferro County,GA
3065,2015,46.33333333,Taliaferro County,GA
3066,2010,1181,Washington County,GA
3067,2011,1034,Washington County,GA
3068,2012,836,Washington County,GA
3069,2013,740.5833333,Washington County,GA
3070,2014,608.9166667,Washington County,GA
3071,2015,502.5833333,Washington County,GA
3072,2010,8172,Macon-Bibb County,GA
3073,2011,8187.5,Macon-Bibb County,GA
3074,2012,7561.333333,Macon-Bibb County,GA
3075,2013,6481.166667,Macon-Bibb County,GA
3076,2014,5512.333333,Macon-Bibb County,GA
3077,2015,4518.833333,Macon-Bibb County,GA
3078,2010,242.3333333,Chattahoochee County,GA
3079,2011,273.5,Chattahoochee County,GA
3080,2012,304.9166667,Chattahoochee County,GA
3081,2013,269.8333333,Chattahoochee County,GA
3082,2014,215.5833333,Chattahoochee County,GA
3083,2015,184.8333333,Chattahoochee County,GA
3084,2010,6742.666667,Maui County,HI
3085,2011,6381.666667,Maui County,HI
3086,2012,5087,Maui County,HI
3087,2013,4138.416667,Maui County,HI
3088,2014,3727.083333,Maui County,HI
3089,2015,3111.166667,Maui County,HI
3090,2010,3003.666667,Kauai County,HI
3091,2011,3034.916667,Kauai County,HI
3092,2012,2484.5,Kauai County,HI
3093,2013,1930.166667,Kauai County,HI
3094,2014,1680.666667,Kauai County,HI
3095,2015,1415.166667,Kauai County,HI
3096,2010,8662.166667,Hawaii County,HI
3097,2011,8722.666667,Hawaii County,HI
3098,2012,7170.083333,Hawaii County,HI
3099,2013,5770.25,Hawaii County,HI
3100,2014,4844.333333,Hawaii County,HI
3101,2015,3906.583333,Hawaii County,HI
3102,2010,196.25,Ida County,IA
3103,2011,184.0833333,Ida County,IA
3104,2012,152.1666667,Ida County,IA
3105,2013,151.75,Ida County,IA
3106,2014,139.25,Ida County,IA
3107,2015,123.8333333,Ida County,IA
3108,2010,1574.416667,Lee County,IA
3109,2011,1419.5,Lee County,IA
3110,2012,1257.5,Lee County,IA
3111,2013,1220.166667,Lee County,IA
3112,2014,1044.583333,Lee County,IA
3113,2015,989.8333333,Lee County,IA
3114,2010,267.3333333,Sac County,IA
3115,2011,248.25,Sac County,IA
3116,2012,233.1666667,Sac County,IA
3117,2013,232.1666667,Sac County,IA
3118,2014,218.1666667,Sac County,IA
3119,2015,189.25,Sac County,IA
3120,2010,464,Cass County,IA
3121,2011,434.4166667,Cass County,IA
3122,2012,373.6666667,Cass County,IA
3123,2013,368.0833333,Cass County,IA
3124,2014,319.8333333,Cass County,IA
3125,2015,272.25,Cass County,IA
3126,2010,547.5,Clay County,IA
3127,2011,503.4166667,Clay County,IA
3128,2012,448,Clay County,IA
3129,2013,397.1666667,Clay County,IA
3130,2014,373.5,Clay County,IA
3131,2015,322.9166667,Clay County,IA
3132,2010,530.8333333,Iowa County,IA
3133,2011,480.9166667,Iowa County,IA
3134,2012,432,Iowa County,IA
3135,2013,411,Iowa County,IA
3136,2014,426.6666667,Iowa County,IA
3137,2015,367.3333333,Iowa County,IA
3138,2010,7181.75,Linn County,IA
3139,2011,6779.166667,Linn County,IA
3140,2012,6204.083333,Linn County,IA
3141,2013,5992.75,Linn County,IA
3142,2014,5314.25,Linn County,IA
3143,2015,4587.75,Linn County,IA
3144,2010,246.75,Lyon County,IA
3145,2011,211.3333333,Lyon County,IA
3146,2012,202.0833333,Lyon County,IA
3147,2013,198.4166667,Lyon County,IA
3148,2014,178.6666667,Lyon County,IA
3149,2015,142.5,Lyon County,IA
3150,2010,483.3333333,Page County,IA
3151,2011,390.5,Page County,IA
3152,2012,359.1666667,Page County,IA
3153,2013,346.4166667,Page County,IA
3154,2014,293.0833333,Page County,IA
3155,2015,273.8333333,Page County,IA
3156,2010,14600.66667,Polk County,IA
3157,2011,13767,Polk County,IA
3158,2012,12649.16667,Polk County,IA
3159,2013,12046.08333,Polk County,IA
3160,2014,10819.16667,Polk County,IA
3161,2015,9478.916667,Polk County,IA
3162,2010,602.1666667,Tama County,IA
3163,2011,561,Tama County,IA
3164,2012,545.25,Tama County,IA
3165,2013,506.25,Tama County,IA
3166,2014,488.0833333,Tama County,IA
3167,2015,424.75,Tama County,IA
3168,2010,227.4166667,Adair County,IA
3169,2011,198.9166667,Adair County,IA
3170,2012,177.0833333,Adair County,IA
3171,2013,171.5833333,Adair County,IA
3172,2014,166.8333333,Adair County,IA
3173,2015,137.3333333,Adair County,IA
3174,2010,108.4166667,Adams County,IA
3175,2011,97.91666667,Adams County,IA
3176,2012,86.58333333,Adams County,IA
3177,2013,79.16666667,Adams County,IA
3178,2014,74.08333333,Adams County,IA
3179,2015,64.5,Adams County,IA
3180,2010,848.0833333,Boone County,IA
3181,2011,726.5833333,Boone County,IA
3182,2012,630.5833333,Boone County,IA
3183,2013,603.1666667,Boone County,IA
3184,2014,517.0833333,Boone County,IA
3185,2015,466.0833333,Boone County,IA
3186,2010,592.4166667,Cedar County,IA
3187,2011,561.3333333,Cedar County,IA
3188,2012,484.8333333,Cedar County,IA
3189,2013,465.6666667,Cedar County,IA
3190,2014,421.75,Cedar County,IA
3191,2015,379.8333333,Cedar County,IA
3192,2010,302.5,Davis County,IA
3193,2011,254.5,Davis County,IA
3194,2012,235.5833333,Davis County,IA
3195,2013,227.25,Davis County,IA
3196,2014,210.5833333,Davis County,IA
3197,2015,187.4166667,Davis County,IA
3198,2010,412.25,Emmet County,IA
3199,2011,323.6666667,Emmet County,IA
3200,2012,254.9166667,Emmet County,IA
3201,2013,232.6666667,Emmet County,IA
3202,2014,227,Emmet County,IA
3203,2015,212.1666667,Emmet County,IA
3204,2010,619.4166667,Floyd County,IA
3205,2011,537.1666667,Floyd County,IA
3206,2012,507.1666667,Floyd County,IA
3207,2013,457.25,Floyd County,IA
3208,2014,379.9166667,Floyd County,IA
3209,2015,331.4166667,Floyd County,IA
3210,2010,826,Henry County,IA
3211,2011,667.75,Henry County,IA
3212,2012,571.4166667,Henry County,IA
3213,2013,505.6666667,Henry County,IA
3214,2014,419.4166667,Henry County,IA
3215,2015,378.4166667,Henry County,IA
3216,2010,705.5833333,Jones County,IA
3217,2011,634.3333333,Jones County,IA
3218,2012,561.6666667,Jones County,IA
3219,2013,570,Jones County,IA
3220,2014,531.75,Jones County,IA
3221,2015,453.9166667,Jones County,IA
3222,2010,258.6666667,Lucas County,IA
3223,2011,220.8333333,Lucas County,IA
3224,2012,199,Lucas County,IA
3225,2013,199.1666667,Lucas County,IA
3226,2014,168.25,Lucas County,IA
3227,2015,156.8333333,Lucas County,IA
3228,2010,398.9166667,Mills County,IA
3229,2011,368,Mills County,IA
3230,2012,333.8333333,Mills County,IA
3231,2013,321.6666667,Mills County,IA
3232,2014,323.75,Mills County,IA
3233,2015,305,Mills County,IA
3234,2010,5778.666667,Scott County,IA
3235,2011,5342.333333,Scott County,IA
3236,2012,5003.083333,Scott County,IA
3237,2013,4922.916667,Scott County,IA
